frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,712,730,0.493416,0.5058900000000001,,,,,694,542,0.48094200000000004,0.375606,,,,,62,774,0.042966000000000004,0.536382,,,,,,,,,,,,
4,43,712,730,0.493416,0.5058900000000001,1.0935020097545474e-14,-6.248582912883128e-15,-4.1368345063552975e-13,2.783554911983968e-13,694,542,0.48094200000000004,0.375606,6.248582912883128e-15,1.562145728220782e-15,-2.5751032815795976e-13,-3.000646491922147e-14,62,774,0.042966000000000004,0.536382,-9.763410801379887e-17,4.6864371846623464e-15,1.6860657401737364e-14,-2.644741512208364e-13,,,,,,,,
5,64,712,730,0.493416,0.5058900000000001,5.726490034213594e-15,2.863245017106797e-15,7.21843193165016e-14,-1.569009942323057e-13,694,542,0.48094200000000004,0.375606,1.4316225085533984e-15,2.863245017106797e-15,-1.9901083515620472e-13,-3.6322875047253106e-13,62,774,0.042966000000000004,0.536382,1.789528135691748e-16,2.863245017106797e-15,-3.4284071284743913e-15,-4.514590259553476e-13,,,,,,,,
6,84,712,730,0.493416,0.5058900000000001,4.682672442484984e-15,4.682672442484984e-15,1.8357173363091344e-13,2.3942545039323564e-13,694,542,0.48094200000000004,0.375606,2.341336221242492e-15,2.341336221242492e-15,3.0630843337908256e-13,1.4311985364340568e-13,62,774,0.042966000000000004,0.536382,2.926670276553115e-16,4.682672442484984e-15,2.5025041628813764e-14,2.0905854308780434e-13,,,,,,,,
7,95,712,730,0.493416,0.5058900000000001,-2.3442050274908125e-15,0.0,2.1563257073294078e-13,8.308144653117841e-14,694,542,0.48094200000000004,0.375606,-2.3442050274908125e-15,-2.3442050274908125e-15,1.567574732388425e-13,2.1406204933119052e-13,62,774,0.042966000000000004,0.536382,-0.0069610122773855025,0.0,-0.49237295215040316,2.1295281449936912e-13,,,,,,,,
8,118,712,730,0.493416,0.5058900000000001,-2.51496627527835e-15,0.0,-2.4574603777307787e-13,-1.7633065131856938e-13,694,542,0.48094200000000004,0.375606,-2.51496627527835e-15,1.257483137639175e-15,-1.0186751810329972e-13,7.75885343045562e-14,62,774,0.042966000000000004,0.536382,-0.0070359341080184,0.0,-0.14602760285988406,-2.302147114998437e-13,,,,,,,,
9,134,712,730,0.493416,0.5058900000000001,5.409691422422967e-15,1.0819382844845934e-14,5.350256768123415e-13,2.554570769851733e-13,694,542,0.48094200000000004,0.375606,1.0819382844845934e-14,6.762114278028708e-15,3.6520450087119423e-13,1.368340159550491e-13,62,774,0.042966000000000004,0.536382,-0.0022270606932391864,8.11453713363445e-15,0.305885736842428,1.492637104233103e-13,676,608,0.46846800000000005,0.42134400000000005,,,,
10,151,712,730,0.493416,0.5058900000000001,-2.5207939598370953e-15,-5.0415879196741905e-15,2.112299788926706e-13,1.6890469820114773e-13,694,542,0.48094200000000004,0.375606,-2.5207939598370953e-15,-2.5207939598370953e-15,2.535552595841935e-13,4.3704902988605745e-15,60,774,0.041580000000000006,0.536382,0.00021199712709899779,-2.5207939598370953e-15,0.3083481414630065,2.1505322650719237e-13,676,608,0.46846800000000005,0.42134400000000005,-1.494056234846417e-14,-3.735140587116042e-15,3.0531240701777645e-13,8.821582209385865e-14
11,161,712,730,0.493416,0.5058900000000001,0.0,2.623387451747601e-15,2.0980539021700107e-13,1.884154530655597e-13,694,542,0.48094200000000004,0.375606,2.623387451747601e-15,1.3116937258738005e-15,3.709233108601602e-14,1.0611092967411819e-13,62,774,0.042966000000000004,0.536382,0.0003750416937827623,2.623387451747601e-15,0.3830172734860452,1.61819804916054e-13,676,608,0.46846800000000005,0.42134400000000005,0.0,4.568565439842076e-15,3.115889882558345e-13,-3.460121287472678e-14
12,172,712,730,0.493416,0.5058900000000001,-2.5299403201790795e-15,-5.059880640358159e-15,3.379897121266934e-13,3.8397771495840833e-13,694,542,0.48094200000000004,0.375606,2.5299403201790795e-15,1.2649701600895397e-15,2.920017092949784e-13,1.8694826779439764e-13,62,774,0.042966000000000004,0.536382,0.005018847735134057,0.0,0.057517622257908775,2.422710471411078e-13,676,608,0.46846800000000005,0.42134400000000005,-1.2649701600895397e-15,-2.5299403201790795e-15,1.2461182141351445e-13,2.638439228777602e-13
13,203,712,730,0.493416,0.5058900000000001,5.075388119585238e-15,0.015007121305782922,-1.3532425169267667e-13,0.7994843935661896,694,542,0.48094200000000004,0.375606,2.537694059792619e-15,3.806541089688928e-15,-6.166145761317856e-15,2.948032017519224e-14,62,774,0.042966000000000004,0.536382,0.0035184874324999675,7.613082179377856e-15,-0.6467272552979768,4.166952561735413e-13,676,608,0.46846800000000005,0.42134400000000005,2.537694059792619e-15,5.075388119585238e-15,6.413543603787016e-14,1.0441857681009117e-13
14,212,712,730,0.493416,0.5058900000000001,5.14059631212423e-15,0.017544266174155002,-2.0163844908780762e-13,0.7081919164503724,694,542,0.48094200000000004,0.375606,5.14059631212423e-15,2.570298156062115e-15,-3.488996598874861e-14,-4.078928144038831e-14,62,774,0.042966000000000004,0.536382,6.425745390155288e-16,5.14059631212423e-15,1.6286652577504296e-14,9.742325593023383e-14,676,608,0.46846800000000005,0.42134400000000005,2.570298156062115e-15,5.14059631212423e-15,-3.068642774772368e-15,-2.3712787887627493e-14
15,228,712,730,0.493416,0.5058900000000001,0.0,0.0077859028606449806,1.7400701907371237e-13,-0.2237704264592249,694,542,0.48094200000000004,0.375606,2.6222895703637816e-15,1.3111447851818908e-15,3.794288246544601e-13,1.168827528189305e-13,62,774,0.042966000000000004,0.536382,0.0,2.6222895703637816e-15,1.818099660802439e-14,5.044052846267503e-13,676,608,0.46846800000000005,0.42134400000000005,5.244579140727563e-15,2.6222895703637816e-15,2.970735799793387e-13,1.986644589834183e-13
16,242,712,732,0.493416,0.5072760000000001,-2.959279789016685e-15,0.014249391487565983,7.194937574265027e-13,-0.5767603837777435,694,542,0.48094200000000004,0.375606,0.0,-2.959279789016685e-15,8.325058246267711e-14,4.1460239761389886e-13,62,774,0.042966000000000004,0.536382,0.0,-2.959279789016685e-15,4.121387775565419e-14,5.22834109562665e-13,676,608,0.46846800000000005,0.42134400000000005,0.0,0.0,3.559151209347792e-13,5.406769226127379e-13
17,257,712,732,0.493416,0.5072760000000001,-6.120276364187091e-15,0.01161383619412489,-2.8516244282679824e-13,-0.4932805389769475,694,542,0.48094200000000004,0.375606,-3.0601381820935453e-15,-3.0601381820935453e-15,-3.6153328587684516e-13,-4.640016571989196e-13,62,774,0.042966000000000004,0.536382,-3.8251727276169317e-16,-6.120276364187091e-15,-3.785779483196265e-14,-4.4577854316088263e-13,676,608,0.46846800000000005,0.42134400000000005,-6.120276364187091e-15,-3.0601381820935453e-15,-5.589102415419189e-14,-1.0686361071066211e-13
18,274,712,730,0.493416,0.5058900000000001,3.0830608858308286e-15,-0.00755707332067436,2.689972792483342e-13,-1.1615378913334877,694,542,0.48094200000000004,0.375606,3.0830608858308286e-15,3.0830608858308286e-15,6.521925869387248e-13,3.72237883514405e-13,62,774,0.042966000000000004,0.536382,5.780739160932804e-16,6.166121771661657e-15,3.548204420570765e-14,2.9418363110859265e-13,676,608,0.46846800000000005,0.42134400000000005,3.0830608858308286e-15,3.0830608858308286e-15,4.690326801548588e-13,5.534635992230227e-13
19,284,712,732,0.493416,0.5072760000000001,-3.349351951184593e-15,-0.019200826379489243,-2.9096754896449253e-13,-0.4902028179235796,694,542,0.48094200000000004,0.375606,0.0,0.0,-7.81398009453152e-13,-3.156869491229543e-13,62,774,0.042966000000000004,0.536382,0.0,0.0,-8.886445441428017e-14,-3.14418994191099e-13,676,608,0.46846800000000005,0.42134400000000005,-3.349351951184593e-15,0.0,-5.011081058324164e-13,-5.692209484176715e-13
20,291,712,732,0.493416,0.5072760000000001,0.0,-0.009710720516595977,5.580784625021271e-14,0.8576488723709231,694,542,0.48094200000000004,0.375606,0.0,-1.6146243430135987e-15,5.4122191486656374e-14,8.344886978803786e-14,62,774,0.042966000000000004,0.536382,-2.0182804287669984e-16,0.0,-3.272528401624823e-14,-1.2354177853843507e-13,676,608,0.46846800000000005,0.42134400000000005,3.2292486860271975e-15,0.0,-1.454280702865249e-13,-7.506245168591465e-14
21,311,712,730,0.493416,0.5058900000000001,-1.1915687317626374e-14,0.004814850822194383,1.3353164407155255e-12,0.5516295952957004,694,542,0.48094200000000004,0.375606,-8.93676548821978e-15,-7.447304573516483e-15,1.5538717358976973e-12,1.0462160931937513e-12,62,774,0.042966000000000004,0.536382,-5.585478430137363e-16,-1.1915687317626374e-14,9.773105065663035e-14,1.5749190217622624e-12,676,608,0.46846800000000005,0.42134400000000005,-1.1915687317626374e-14,-8.93676548821978e-15,1.3253785511772863e-12,9.84228768066371e-13
22,316,712,730,0.493416,0.5058900000000001,-3.9408613860131385e-15,-0.00959921031240665,-1.3765187977287747e-13,0.3585357384252278,694,542,0.48094200000000004,0.375606,-5.254481848017518e-15,-2.627240924008759e-15,3.6445930699862127e-13,7.280639526969437e-14,62,774,0.042966000000000004,0.536382,-6.568102310021898e-16,-7.881722772026277e-15,6.5681146188724244e-15,6.386970728317703e-14,676,608,0.46846800000000005,0.42134400000000005,-3.9408613860131385e-15,-9.195343234030657e-15,7.577522781699504e-14,2.64039214878355e-13
23,338,712,732,0.493416,0.5072760000000001,-2.7619966501299918e-15,-0.005729410351657884,-6.508542802048777e-13,-0.1980748251913076,694,542,0.48094200000000004,0.375606,-2.7619966501299918e-15,-0.009540339085040367,-3.150741505415417e-13,-0.6000574297846023,62,774,0.042966000000000004,0.536382,-3.4524958126624897e-16,-2.7619966501299918e-15,-3.160905202057174e-14,-4.710917925144785e-13,676,608,0.46846800000000005,0.42134400000000005,-5.5239933002599836e-15,-2.7619966501299918e-15,-5.716248809671895e-13,-3.991254321277513e-13
24,359,712,732,0.493416,0.5072760000000001,0.0,-0.015413237436522715,-6.062457489678204e-13,-1.4588967847503498,694,542,0.48094200000000004,0.375606,1.4090758631202501e-15,-0.00422720181584423,-4.3722181818506424e-13,0.1488515731151687,62,774,0.042966000000000004,0.536382,0.0,2.8181517262405003e-15,-2.752044392584843e-14,-3.783575038376846e-13,676,608,0.46846800000000005,0.42134400000000005,1.4090758631202501e-15,1.4090758631202501e-15,-2.449824262574575e-13,-1.9488978574994666e-13
25,372,712,730,0.493416,0.5058900000000001,2.7838343740455837e-15,0.002787579684414354,4.646034477083118e-13,0.09971063819503344,694,542,0.48094200000000004,0.375606,1.3919171870227919e-15,-0.015233842517191714,7.14998070679817e-14,-0.33257952505800337,62,774,0.042966000000000004,0.536382,-1.7398964837784898e-16,5.5676687480911675e-15,1.7763014901592576e-14,3.324329340781963e-13,676,608,0.46846800000000005,0.42134400000000005,5.5676687480911675e-15,2.7838343740455837e-15,3.7389807813108637e-13,2.7759744911913897e-13
26,376,712,730,0.493416,0.5058900000000001,3.233697396123403e-15,-0.004444180638841176,-1.575883814075045e-13,1.818813414736563,694,540,0.48094200000000004,0.37422,3.233697396123403e-15,-0.008448757727065557,-1.9196170706998466e-14,0.3356968330304766,62,774,0.042966000000000004,0.536382,6.063182617731381e-16,3.233697396123403e-15,-2.7849018475511236e-14,-8.447692383951423e-14,676,608,0.46846800000000005,0.42134400000000005,6.467394792246806e-15,3.233697396123403e-15,-4.2705984451398764e-13,-1.1183501099756863e-13
27,393,712,730,0.493416,0.5058900000000001,0.0,0.00206356381995729,-9.521394604539188e-14,0.8123608052464006,694,542,0.48094200000000004,0.375606,0.0,-0.012254848110781945,3.422534603362017e-13,-0.19512193859842625,62,774,0.042966000000000004,0.536382,0.0,0.0,3.0568658982695894e-16,-5.925048919906205e-13,676,608,0.46846800000000005,0.42134400000000005,3.626940527827755e-15,0.0,-2.9360193282702043e-13,-9.420088803977318e-14
28,410,712,732,0.493416,0.5072760000000001,7.346592474891521e-15,-0.013632176615100938,-4.117596205879033e-13,-2.3530813548450746,694,540,0.48094200000000004,0.37422,7.346592474891521e-15,0.0030480385712381543,-4.979527017663314e-14,0.4182884142508165,62,774,0.042966000000000004,0.536382,-2.2958101484036003e-16,1.2856536831060161e-14,-1.1323488931500485e-13,-2.2788200643059526e-13,676,608,0.46846800000000005,0.42134400000000005,3.6732962374457605e-15,9.183240593614402e-15,-3.8450577605569156e-13,4.1439104265502063e-14
29,415,712,732,0.493416,0.5072760000000001,-8.021488804732852e-15,0.006265177967444858,1.7163017171500782e-13,-0.7707575124265501,694,542,0.48094200000000004,0.375606,-8.021488804732852e-15,0.013033850449395283,-3.800599510927691e-14,0.07608956633828795,62,774,0.042966000000000004,0.536382,-2.506715251479016e-16,-8.021488804732852e-15,1.678051930911335e-14,-9.447821314421505e-14,676,608,0.46846800000000005,0.42134400000000005,-2.005372201183213e-15,-1.0026861005916065e-14,6.285730358704412e-13,2.3543650238773434e-13
30,426,712,730,0.493416,0.5058900000000001,4.356328808035884e-15,0.012389733111517677,4.4803105245715264e-13,0.13767319324460475,694,540,0.48094200000000004,0.37422,4.356328808035884e-15,0.008971300192105573,3.307878083282943e-13,1.2904076390752177,62,774,0.042966000000000004,0.536382,2.7227055050224273e-16,4.356328808035884e-15,6.328291099828606e-15,-5.178790897213724e-14,676,608,0.46846800000000005,0.42134400000000005,4.356328808035884e-15,0.0,7.426470341437102e-14,1.1901653389248708e-13
31,432,712,730,0.493416,0.5058900000000001,8.256500362680294e-15,-0.007720869275863125,-8.456201493261911e-13,1.8498454079536704,694,542,0.48094200000000004,0.375606,4.128250181340147e-15,0.018112261579584298,-9.136833655225528e-14,-2.3105766527510925,62,774,0.042966000000000004,0.536382,0.0,8.256500362680294e-15,-2.6805373538868535e-14,-2.98070168645998e-13,676,608,0.46846800000000005,0.42134400000000005,4.128250181340147e-15,2.0641250906700734e-15,-5.46386940164674e-13,-2.2152846962268601e-13
32,440,712,732,0.493416,0.5072760000000001,-3.7613074505845736e-15,0.004490021528979407,-6.129535298383771e-13,-0.6151118740246051,694,542,0.48094200000000004,0.375606,-7.522614901169147e-15,-0.0018510945110800296,4.942717041986153e-13,-0.05897129011563931,62,774,0.042966000000000004,0.536382,-7.052451469846075e-16,0.0,-3.3222975773781757e-14,3.772390521453615e-13,676,608,0.46846800000000005,0.42134400000000005,-9.403268626461433e-15,-7.522614901169147e-15,7.710982747479768e-14,5.039406619881091e-14
33,456,712,732,0.493416,0.5072760000000001,0.0,-0.00413585818340443,-5.0468375623183506e-14,-4.092382496846199,694,542,0.48094200000000004,0.375606,0.0,0.005476938535976281,6.601140662921734e-13,-0.679835375310248,62,774,0.042966000000000004,0.536382,0.0,-3.927686718514651e-15,3.4346575714180474e-15,-1.2316527244470367e-13,676,608,0.46846800000000005,0.42134400000000005,0.0,-3.927686718514651e-15,-2.8874987707057836e-13,-8.878810792697452e-14
34,470,712,732,0.493416,0.5072760000000001,-1.9746857032766467e-15,-0.04610049105260611,-2.6116114789586364e-13,-3.5016592757527456,694,540,0.48094200000000004,0.37422,-1.9746857032766467e-15,0.012099777712036906,-2.8900016097082746e-13,1.5525052185998367,62,774,0.042966000000000004,0.536382,0.0,-3.9493714065532934e-15,-2.0544253306455755e-14,-6.605571503683759e-13,676,608,0.46846800000000005,0.42134400000000005,-1.9746857032766467e-15,-1.9746857032766467e-15,-8.735531520024612e-13,-3.7318189010805595e-13
35,478,712,730,0.493416,0.5058900000000001,-6.32380189178252e-15,-0.0029404377355281806,-1.0577971480072294e-12,1.614935500791502,694,542,0.48094200000000004,0.375606,-1.0539669819637534e-14,0.009530375332466944,-8.572393416488538e-13,1.0154896291983118,62,774,0.042966000000000004,0.536382,-7.90475236472815e-16,-8.431735855710026e-15,-1.199417433077249e-13,-6.459511870469893e-13,676,608,0.46846800000000005,0.42134400000000005,-1.264760378356504e-14,2.1079339639275065e-15,-7.238746741621087e-13,-4.124413881606126e-13
36,484,712,730,0.493416,0.5058900000000001,-4.508113349883413e-15,-0.018370045970806492,1.667042199379614e-12,1.2873955330559603,694,542,0.48094200000000004,0.375606,4.508113349883413e-15,-0.00568530686664165,1.8888883757177293e-12,-1.3324173319011776,62,774,0.042966000000000004,0.536382,5.635141687354266e-16,0.0,4.447227063687054e-14,1.932972318523302e-12,676,608,0.46846800000000005,0.42134400000000005,-4.508113349883413e-15,0.0,1.882335283141207e-12,1.6337768902035964e-12
