frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,167,,,,,,,,,,,,,,,,,,,,,,,,,484,306,0.33541200000000004,0.21205800000000002,,,,,,,,,,,,
12,176,,,,,,,,,,,,,,,,,,,,,,,,,486,306,0.33679800000000004,0.21205800000000002,,,,,,,,,,,,
13,191,,,,,,,,,,,,,,,,,,,,,,,,,484,308,0.33541200000000004,0.21344400000000002,,,,,,,,,,,,
14,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,,,,
15,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,384,0.525294,0.266112,-0.1010632955876885,0.03409594672013393,7.454832608812798,-6.085100786140865
16,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,382,0.525294,0.264726,0.028984637453920773,-0.020129133808006256,7.828709731707116,-0.5350191372571713
17,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,382,0.525294,0.264726,0.008526547584192648,-0.012999881872195453,2.8778415514629345,0.4490105063583058
18,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,382,0.525294,0.264726,0.029480774508092823,-0.026493528672120497,-0.41580325372655785,1.8198782236581674
19,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,0.055786033502849386,0.01537873265718474,-2.28810134141551,-0.3176381011362338
20,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,0.019848338110155347,0.012911714626534376,-1.0593560767178842,-0.6989808908903973
21,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,384,0.52668,0.266112,0.0025945961637321127,-0.00489723578101169,-0.17911869668271274,-0.6167065447402048
22,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,382,0.525294,0.264726,0.005287481168623533,0.0066253889351468274,0.48802964863484183,0.021834298271277554
23,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,0.009545594875609287,0.014738871728651053,0.6253253990861014,0.40975399301829657
24,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,0.00932000882831296,0.021067983777466784,0.10724250454287895,1.6876515954305704
25,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,384,0.52668,0.266112,0.010913959597447882,0.026047872674687216,-1.3452222826188467,-0.35704782480425135
