frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
20,248,676,560,0.46846800000000005,0.38808000000000004,-3.279935450645334e-15,0.020460827866489933,-7.780903458746996e-14,0.31225743961629804,714,874,0.494802,0.605682,-6.559870901290668e-15,0.01788531335429421,-2.0774556496876717e-13,1.1812304639894045,490,434,0.33957000000000004,0.30076200000000003,-4.9199031759680005e-15,-3.279935450645334e-15,-3.348425988605715e-13,-1.564125383497839e-13,,,,,,,,,760,380,0.52668,0.26334,-3.279935450645334e-15,0.017362413498399003,-1.0202590029436989e-13,0.9721072471131137
21,259,676,558,0.46846800000000005,0.38669400000000004,0.0,0.017166738783319632,6.559472116075812e-14,-0.08451318538209769,714,874,0.494802,0.605682,3.0842503383773304e-15,0.01872768600110675,3.191750477413393e-13,0.6145607448254754,490,434,0.33957000000000004,0.30076200000000003,1.5421251691886652e-15,3.0842503383773304e-15,1.368906309985102e-13,-2.3638389384930956e-13,,,,,,,,,760,382,0.52668,0.264726,3.0842503383773304e-15,0.008386982044466756,-1.1587795725500828e-13,0.5928542092150114
22,267,676,560,0.46846800000000005,0.38808000000000004,0.0,0.020571265487251765,4.101856847156629e-13,-0.5764602474786302,714,874,0.494802,0.605682,-1.5818417217468425e-15,0.02472759553036087,5.960392734355937e-13,-0.0860235334304007,490,434,0.33957000000000004,0.30076200000000003,-3.163683443493685e-15,0.0,5.997074990357261e-13,2.966414574570921e-13,,,,,,,,,760,382,0.52668,0.264726,-6.32736688698737e-15,0.03292709695904864,1.172001361484206e-12,-1.3873363244990737
23,282,676,560,0.46846800000000005,0.38808000000000004,0.0,0.0074176013599180175,6.79614400055433e-14,0.0021936812539503146,714,876,0.494802,0.607068,3.177257385145973e-15,0.025134223163872933,-8.661430590690368e-13,-0.6170382319806638,490,434,0.33957000000000004,0.30076200000000003,0.0,-1.5886286925729866e-15,-3.5960270956268594e-13,-4.160387480592662e-14,,,,,,,,,760,382,0.52668,0.264726,0.0,0.01469515077832599,-3.355272595710114e-13,-1.2694323535157084
24,303,676,560,0.46846800000000005,0.38808000000000004,-3.0210849371976518e-15,0.005832462088820496,-4.1099396312566663e-13,-0.7806726522542957,714,876,0.494802,0.607068,-3.0210849371976518e-15,0.012970643856912321,-6.288530094800396e-14,-0.9649084037026129,490,434,0.33957000000000004,0.30076200000000003,-6.0421698743953036e-15,0.0,-3.405744797534974e-13,-4.0378704546388584e-14,,,,,,,,,760,382,0.52668,0.264726,-6.0421698743953036e-15,-3.0210849371976518e-15,-1.8995876587869613e-13,-8.364329909076798e-14
25,315,676,560,0.46846800000000005,0.38808000000000004,6.024352895321688e-15,7.53044111915211e-15,3.0441183792997823e-13,1.8509604158544325e-13,714,876,0.494802,0.607068,0.0,0.006628210589312724,4.794484408293226e-13,-0.780043183558261,490,434,0.33957000000000004,0.30076200000000003,1.506088223830422e-15,3.012176447660844e-15,-2.828228527140674e-14,2.3240634269372062e-14,,,,,,,,,760,382,0.52668,0.264726,3.012176447660844e-15,0.0,-3.0885727050393364e-13,-4.8760549324506605e-14
26,320,676,560,0.46846800000000005,0.38808000000000004,0.0,-1.6506269502615596e-15,2.68144993317174e-13,6.239231660679186e-13,714,876,0.494802,0.607068,3.301253900523119e-15,3.301253900523119e-15,4.053861768388459e-13,4.2009889170372153e-13,490,434,0.33957000000000004,0.30076200000000003,0.0,-1.6506269502615596e-15,1.3430104124622384e-13,3.4114826170329655e-13,,,,,,,,,760,382,0.52668,0.264726,3.301253900523119e-15,0.0,6.275798495334112e-13,1.7595930992615383e-13
27,339,676,560,0.46846800000000005,0.38808000000000004,-7.71425461677745e-15,-9.642818270971813e-15,-7.262593190794204e-13,1.622590725057097e-13,714,876,0.494802,0.607068,-1.54285092335549e-14,-1.9285636541943626e-14,-9.651490565815634e-13,-1.0242970839603307e-12,490,434,0.33957000000000004,0.30076200000000003,-9.642818270971813e-15,-5.785690962583087e-15,-5.671106541791359e-13,6.024700243062304e-15,,,,,,,,,760,382,0.52668,0.264726,-1.54285092335549e-14,-9.642818270971813e-15,-6.353265182627083e-13,-4.629086175588229e-13
28,351,676,560,0.46846800000000005,0.38808000000000004,0.033177915459807396,0.0,2.1418698723622605,-7.79702539661944e-13,714,876,0.494802,0.607068,1.0211780978951902e-14,1.2254137174742281e-14,-6.939219191691176e-13,5.669272384060775e-14,490,434,0.33957000000000004,0.30076200000000003,6.1270685873711406e-15,2.04235619579038e-15,-1.667840577170918e-14,-3.839144656373067e-13,,,,,,,,,760,382,0.52668,0.264726,6.1270685873711406e-15,3.0635342936855703e-15,-4.941388942788679e-13,-5.109359282959682e-13
29,358,676,560,0.46846800000000005,0.38808000000000004,0.013967108908552541,4.547650703340625e-15,0.436146189031289,-2.2054973446800128e-13,714,876,0.494802,0.607068,0.0,4.547650703340625e-15,2.581352981898907e-13,2.6043271139638176e-13,490,434,0.33957000000000004,0.30076200000000003,0.0,2.2738253516703125e-15,-2.4440796791763154e-13,1.405612263307878e-13,,,,,,,,,760,382,0.52668,0.264726,0.0,1.1369126758351563e-15,-6.17315597645593e-13,-3.762736136260082e-14
30,363,676,560,0.46846800000000005,0.38808000000000004,0.009587544301102988,-9.00139736949976e-15,-0.930197376676166,3.9612843459327183e-13,714,876,0.494802,0.607068,-6.75104802712482e-15,-9.00139736949976e-15,3.590505619895963e-13,-6.845606709590026e-16,490,434,0.33957000000000004,0.30076200000000003,-2.25034934237494e-15,-9.00139736949976e-15,-8.105255611496132e-14,3.1442427663193746e-13,,,,,,,,,760,382,0.52668,0.264726,-4.50069868474988e-15,-4.50069868474988e-15,1.6355026378480778e-13,-2.992315817620669e-14
31,370,678,560,0.46985400000000005,0.38808000000000004,0.011025331174752821,3.7064103189342625e-15,-1.0148339126386607,1.4274312767547327e-14,714,876,0.494802,0.607068,3.7064103189342625e-15,5.559615478401393e-15,-3.3311135789727386e-15,-4.764105411887064e-13,490,434,0.33957000000000004,0.30076200000000003,-5.559615478401393e-15,-1.8532051594671312e-15,3.440221619484213e-13,8.75039244737598e-14,,,,,,,,,760,382,0.52668,0.264726,3.7064103189342625e-15,1.8532051594671312e-15,-9.211353348591213e-14,-1.3627643089937418e-13
32,377,676,560,0.46846800000000005,0.38808000000000004,-0.00017078273048171767,-1.6727818607700592e-14,-0.32972452428293686,3.178523540576454e-13,714,876,0.494802,0.607068,-1.064497547762765e-14,-1.2165686260145886e-14,-1.7150159096231638e-13,-2.6405656378223006e-14,490,434,0.33957000000000004,0.30076200000000003,-1.064497547762765e-14,-9.884620086368532e-15,1.5428035390834883e-13,1.4397391867279223e-13,,,,,,,,,760,382,0.52668,0.264726,-6.082843130072943e-15,-5.322487738813825e-15,-3.338073321572521e-13,-2.0577496562705516e-13
33,401,676,560,0.46846800000000005,0.38808000000000004,-0.007359273441939214,-3.083358119949218e-15,0.1995507885716595,-9.620454250759283e-13,714,876,0.494802,0.607068,-3.083358119949218e-15,-0.0120541512221663,-9.178754277067823e-13,-1.0905293167389174,490,434,0.33957000000000004,0.30076200000000003,-1.541679059974609e-15,-1.541679059974609e-15,-5.04638046803716e-13,-6.400014400622809e-13,,,,,,,,,760,382,0.52668,0.264726,-9.250074359847653e-15,-3.083358119949218e-15,-7.766385241862836e-13,-4.923064869095965e-13
34,415,676,560,0.46846800000000005,0.38808000000000004,-0.003451280106814466,-1.548110540683402e-15,0.8767845791730807,-3.520181469093739e-13,714,876,0.494802,0.607068,-3.096221081366804e-15,-0.028056057960612404,-1.3462676982349197e-13,-1.3066663278399184,490,434,0.33957000000000004,0.30076200000000003,-1.548110540683402e-15,-1.548110540683402e-15,-6.477262877874404e-13,-3.048679412218126e-13,,,,,,,,,760,382,0.52668,0.264726,-6.192442162733608e-15,-3.096221081366804e-15,-3.1530655622629235e-13,-3.388736765599264e-13
35,429,676,560,0.46846800000000005,0.38808000000000004,-4.997378078800216e-15,3.331585385866811e-15,-2.6498480712404556e-13,-2.1779705929233073e-14,714,876,0.494802,0.607068,-1.6657926929334054e-15,-0.038006496588344554,-2.531029337191748e-13,-1.0832550719794622,490,434,0.33957000000000004,0.30076200000000003,0.0,8.328963464667027e-16,-6.01903911074715e-14,5.965823416015571e-14,,,,,,,,,760,382,0.52668,0.264726,0.0,-0.024374366158282285,-1.0827481462193907e-13,-0.9927705285294685
36,436,676,560,0.46846800000000005,0.38808000000000004,-7.98509819475268e-15,-0.017366169200535735,-9.174858480489245e-15,-1.3528546648908482,714,874,0.494802,0.605682,-3.99254909737634e-15,-0.02638064615777266,-4.105644225770696e-14,0.36589122718287964,490,434,0.33957000000000004,0.30076200000000003,-5.9888236460645105e-15,-1.99627454868817e-15,-3.524872091635157e-13,2.304449855096566e-14,,,,,,,,,760,382,0.52668,0.264726,-7.98509819475268e-15,-0.0067200735507630515,-1.1947236189757323e-13,0.30074315464565055
37,444,676,560,0.46846800000000005,0.38808000000000004,-3.7613074505845736e-15,-0.01853148409776252,-2.498404572367181e-13,-0.8555509951667286,714,874,0.494802,0.605682,3.7613074505845736e-15,-0.028828843825982955,-4.859005558382006e-13,1.271818691126066,490,434,0.33957000000000004,0.30076200000000003,0.0,-1.8806537252922868e-15,-3.0585149093369973e-13,1.0278660851679938e-13,,,,,,,,,760,382,0.52668,0.264726,-3.7613074505845736e-15,-0.015078818935119117,-3.760294156058365e-13,-0.286506417263745
