frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
4,62,850.0,106.0,0.5890500000000001,0.073458,,,,
5,72,850.0,104.0,0.5890500000000001,0.072072,-2.3462980681108828e-14,0.0136219334696177,1.7628464345553209e-12,-1.828730109437232
6,89,850.0,106.0,0.5890500000000001,0.073458,4.563952297407302e-15,0.0010648399681142,1.6778983614143558e-12,0.6643839912365984
8,107,850.0,104.0,0.5890500000000001,0.072072,-3.6197044884437975e-15,0.0032590841900694,6.169811563020435e-13,-1.5281014129351094
9,120,850.0,106.0,0.5890500000000001,0.073458,0.0,-0.0073309632921244,3.8589973951475886e-14,0.7043694359315872
11,144,850.0,104.0,0.5890500000000001,0.072072,-3.087528444884743e-15,0.0117920567928291,1.3639468405612069e-12,-0.1035882618761949
12,168,850.0,106.0,0.5890500000000001,0.073458,3.123982227811476e-15,0.0182274266978883,-2.2634901951722726e-13,1.0766440224272256
17,229,850.0,104.0,0.5890500000000001,0.072072,-1.519883701902088e-14,0.0127949239419055,-2.352324712534579e-13,1.094155570127357
18,234,850.0,106.0,0.5890500000000001,0.073458,3.702286356245292e-15,0.0050729294254564,5.600483211849802e-13,0.6428696415394383
25,303,850.0,104.0,0.5890500000000001,0.072072,3.53886215608272e-15,-0.021852576459296,-1.6820643320553389e-13,0.8820311975667313
26,339,850.0,106.0,0.5890500000000001,0.073458,2.415955765472818e-15,0.0086251248635408,3.081842191638533e-13,0.8618993166601677
27,353,850.0,104.0,0.5890500000000001,0.072072,0.0,0.013796267367119,1.907785415671115e-13,0.5126484085705949
28,368,850.0,106.0,0.5890500000000001,0.073458,-4.124845503645252e-15,0.0123473703210721,-1.979657604414772e-15,-0.1277085306890112
33,414,850.0,104.0,0.5890500000000001,0.072072,1.90569902078764e-14,-0.0036752684015025,-1.2641840547082104e-12,1.414915166813766
34,434,850.0,106.0,0.5890500000000001,0.073458,-1.6079743361813347e-14,0.0192355622544688,-1.5836019977612853e-12,1.4471997094857267
44,532,850.0,104.0,0.5890500000000001,0.072072,-8.073014997618237e-15,-0.0021086648601038,-8.793308307401343e-13,1.5553183572533733
46,554,850.0,106.0,0.5890500000000001,0.073458,-1.466956209237237e-14,0.0449101277641446,-1.7794679516881408e-12,3.4971298208081327
57,656,850.0,104.0,0.5890500000000001,0.072072,7.510770799653991e-15,-0.0165998300462685,1.5973585174732878e-12,0.6912529698809469
59,671,850.0,106.0,0.5890500000000001,0.073458,4.0702750897890014e-15,-0.015278606513232,1.821591840278208e-12,0.5218965127032617
60,684,850.0,104.0,0.5890500000000001,0.072072,0.0,-0.0086861222604726,-2.418842315030851e-12,-1.2284407680791336
64,719,850.0,106.0,0.5890500000000001,0.073458,1.0140185963737182e-14,0.0356488566382243,-8.339795921419237e-13,-0.4343117228076006
70,777,850.0,104.0,0.5890500000000001,0.072072,0.0,-0.0092841665756852,3.5388463370192045e-13,1.7171000644043053
73,810,850.0,106.0,0.5890500000000001,0.073458,0.0,0.0261447425776383,-6.016189638602004e-13,-0.7355922158917936
80,873,850.0,104.0,0.5890500000000001,0.072072,5.290776895755701e-15,-0.0385135287172787,-1.4789798885273403e-14,2.69517742505804
82,905,850.0,106.0,0.5890500000000001,0.073458,-1.4430960290107882e-14,-0.0019911130314744,-9.85350380590813e-13,-0.5613861150358497
85,934,850.0,104.0,0.5890500000000001,0.072072,-8.578331481670707e-15,-0.0071450950149374,-2.4059632302072563e-13,2.3897912635496525
87,955,850.0,106.0,0.5890500000000001,0.073458,0.0,0.0101308761065558,6.313001406819258e-13,0.6996748909992703
91,1006,850.0,104.0,0.5890500000000001,0.072072,-7.083924860292704e-15,0.0045812288780046,-1.177459523946049e-15,0.8059878186222109
92,1013,850.0,106.0,0.5890500000000001,0.073458,3.954378535545489e-15,0.0029383725109741,5.435254924173261e-13,1.0512429193135135
97,1063,850.0,104.0,0.5890500000000001,0.072072,7.039287208113104e-15,-0.0112992244517444,-4.262048355597373e-13,1.5911776759557716
99,1093,850.0,106.0,0.5890500000000001,0.073458,-3.985468392074466e-15,0.0125072907450368,-2.696102472529639e-13,1.0535738040599951
101,1106,850.0,104.0,0.5890500000000001,0.072072,9.452986867561175e-15,0.0182042243762364,-2.436784994644968e-12,-0.2551844444005565
102,1118,850.0,106.0,0.5890500000000001,0.073458,0.0,0.004592333514027,-1.4133536379042905e-12,0.7782310944994117
115,1269,850.0,104.0,0.5890500000000001,0.072072,0.0,-0.0249373306250975,-4.184138746616301e-13,0.1334640884478763
119,1309,850.0,106.0,0.5890500000000001,0.073458,-7.4957770885373e-15,0.0277601942624253,1.1356445133071845e-12,-0.5864053858590227
126,1388,850.0,104.0,0.5890500000000001,0.072072,0.0,-0.0014368892103987,4.153225364434461e-13,1.019550761309641
127,1395,850.0,106.0,0.5890500000000001,0.073458,0.0,0.0017405142797151,1.9989466081273986e-12,0.8964076119044272
134,1486,850.0,104.0,0.5890500000000001,0.072072,1.3200639457613696e-14,0.0092187046965718,4.981715035726362e-13,0.9855553148731688
135,1492,850.0,106.0,0.5890500000000001,0.073458,3.5510096030710936e-15,0.0056554149694434,6.745947117198658e-14,0.6686350106895964
142,1560,848.0,106.0,0.5876640000000001,0.073458,-0.060929509504344,0.0279262097264237,-2.3918301830401054,1.4733322962439812
143,1580,848.0,108.0,0.5876640000000001,0.074844,-0.1080807347190671,0.0645890254939752,-2.345043360692148,1.9967015512884063
144,1588,844.0,108.0,0.5848920000000001,0.074844,-0.1480307641019446,0.0912085246485723,-3.7656547414259327,2.6969459051892257
145,1603,842.0,110.0,0.5835060000000001,0.07623,-0.1924645459811028,0.128275182741492,-3.953236630681852,2.653488109868431
146,1611,840.0,112.0,0.5821200000000001,0.077616,-0.225965620207878,0.1511070611237761,-2.817860992003638,3.439690580074349
147,1616,836.0,114.0,0.5793480000000001,0.079002,-0.2140703723691656,0.1563149333866545,-2.121103883698681,0.3391133515976668
148,1627,834.0,116.0,0.5779620000000001,0.080388,-0.2542280217110099,0.1760464766381714,0.647287879186055,-0.2521627661266964
149,1639,828.0,120.0,0.573804,0.08316,-0.2482325114468165,0.1770169592326346,0.9155422608093876,0.9276786933070116
150,1654,824.0,122.0,0.571032,0.084546,-0.2398533369298221,0.1721083510699975,-0.4841551556140601,-0.0681228359841254
151,1664,820.0,126.0,0.56826,0.087318,-0.2704181249470047,0.1850475617577334,-1.7936162371197466,0.4823728630121684
152,1677,816.0,130.0,0.565488,0.09009,-0.3010952067687336,0.1995079662025938,-4.267326620777527,1.6850668107885658
153,1692,810.0,132.0,0.56133,0.091476,-0.3814028412051618,0.2408759622628367,-5.834657699234394,2.2896286029130777
154,1698,804.0,136.0,0.557172,0.094248,-0.3679264437035322,0.2461284827444853,-2.387005649467847,3.262753725489349
155,1710,798.0,140.0,0.553014,0.09702,-0.3666813513023981,0.2456660985486244,3.370077765715953,-0.4416149302393045
156,1717,792.0,144.0,0.548856,0.099792,-0.3889329295483433,0.2852851902193118,3.2541727292046096,-1.6457330452390375
157,1732,786.0,150.0,0.544698,0.10395,-0.3686904316841796,0.2810523431943028,-2.66855300506607,2.0780228391631104
158,1752,780.0,154.0,0.54054,0.106722,-0.5075814874826952,0.3800885331271102,-8.92626265385281,5.964306998477114
159,1757,772.0,160.0,0.534996,0.11088,-0.4618355508607918,0.3489360123879876,-5.631637401780709,3.667595632296672
160,1767,764.0,166.0,0.529452,0.115038,-0.5175537283132466,0.3735957897870849,-4.210587486592416,2.655771106337097
161,1774,756.0,172.0,0.523908,0.119196,-0.5923250570305076,0.432917926831811,4.858037177456533,-4.63807375173044
162,1790,748.0,178.0,0.518364,0.123354,-0.5687197074743211,0.3917629394917403,-2.891364694594463,0.4763077552099927
163,1799,738.0,184.0,0.511434,0.127512,-0.6064993843220968,0.4015686158295823,-6.404302993680552,2.6088082915865902
164,1812,730.0,190.0,0.5058900000000001,0.13167,-0.6578729962572674,0.452618161363999,-6.522698098170449,5.256028993435902
165,1817,720.0,196.0,0.49896,0.135828,-0.6675974114453297,0.4541873249117384,0.9082552706965096,0.8729981311668263
166,1828,710.0,202.0,0.49203,0.139986,-0.6664488184092,0.46241865915504,-0.0731906196874669,0.2933888500971525
167,1837,702.0,210.0,0.486486,0.14553,-0.6804380646280563,0.4689768699311913,3.173213885018387,-3.1240555355468733
168,1849,692.0,216.0,0.479556,0.149688,-0.6509816334189278,0.4515726891346257,-2.260083798936959,0.64127783543973
169,1860,680.0,224.0,0.47124,0.155232,-0.6455780703302642,0.4464794185499812,0.3700762313122013,-0.7644383779493942
170,1872,670.0,230.0,0.46431,0.15939,-0.6351336850192063,0.4351743244517179,1.911305346585319,0.2754380561281867
171,1880,660.0,238.0,0.45738,0.164934,-0.6332894109832669,0.4416771686165578,2.5756097808916687,-1.0464246857633197
172,1896,648.0,246.0,0.449064,0.170478,-0.5960452507606925,0.4219377874301933,1.4246960640093764,-1.181762488971548
173,1908,638.0,254.0,0.442134,0.176022,-0.6149259557816991,0.4331780018810248,-1.948051451730457,0.3050514312663018
174,1922,626.0,262.0,0.433818,0.181566,-0.628493022718111,0.4442745104175231,-3.093739997163293,2.5019215324116395
175,1937,614.0,270.0,0.425502,0.18711,-0.7244336336769135,0.521170996980238,-6.093075815921274,5.05862869549851
176,1944,602.0,278.0,0.417186,0.192654,-0.7780955744519785,0.5552461553327717,-8.21910489122102,6.935876326168342
177,1959,590.0,288.0,0.40887,0.199584,-0.9229515171297492,0.6575351983064142,-10.544629507621634,7.333290607762397
178,1966,576.0,298.0,0.399168,0.206514,-0.9628525710213004,0.6832436460493456,-7.689788336613348,3.728451207975762
179,1975,564.0,306.0,0.390852,0.212058,-0.9040136488925168,0.6417315780411054,1.5327302477676403,-2.076655102554706
180,1982,552.0,314.0,0.382536,0.217602,-0.9790228478556672,0.6782781572602083,10.40850464780358,-6.480392715815462
181,1992,538.0,324.0,0.372834,0.224532,-0.8815025271356409,0.6193547829149043,3.946805866269243,-0.6755530698480443
182,2008,524.0,334.0,0.363132,0.231462,-0.856438539580129,0.6147928229828903,-0.8020750105648051,0.8422909919492023
183,2018,510.0,344.0,0.35343,0.238392,-0.8822761759898476,0.631507123256447,-5.577070002660941,3.4391869195739875
184,2027,498.0,354.0,0.345114,0.245322,-0.8427372708139235,0.6024543779319972,0.1481880172244014,-0.6377709905416215
185,2039,482.0,364.0,0.334026,0.252252,-0.8891301177220156,0.6252313959865148,3.50027464852976,-3.8571465572771766
186,2048,468.0,374.0,0.324324,0.259182,-0.8986759369004899,0.631359622911679,-2.179002566475922,1.841791663736608
187,2065,454.0,384.0,0.314622,0.266112,-0.9551909397634816,0.6698098342092672,-5.213944279923947,4.546841450596784
188,2074,438.0,394.0,0.303534,0.273042,-0.9018374303136322,0.63960896586868,0.2271719138651173,0.126169108065407
189,2081,424.0,406.0,0.293832,0.281358,-0.9094524171592896,0.646037638257781,-0.2943361459983796,0.6043428350880163
190,2093,408.0,416.0,0.282744,0.288288,-0.9881831881800592,0.7024163448824302,2.0811571875542025,-1.8686537252164368
191,2110,392.0,428.0,0.271656,0.296604,-0.97349005502399,0.6924116650583999,-3.295680940615496,1.8675109438405255
192,2118,378.0,438.0,0.261954,0.303534,-0.984041882128744,0.7010399699227766,-6.033735229879925,5.269553691852279
193,2127,360.0,450.0,0.24948,0.31185,-1.0452315868998894,0.7577957102616601,-7.419508635726633,5.97624105209811
194,2140,344.0,462.0,0.238392,0.320166,-1.023444111937276,0.7370568902004506,12.536644752248034,-9.084927395373589
195,2150,328.0,474.0,0.227304,0.328482,-0.9496145607060726,0.6830445312908928,8.264714040154239,-6.795890246466759
196,2158,312.0,486.0,0.216216,0.336798,-0.9040161549951956,0.6540214587307479,-0.25896319891977,-1.2715074201746952
197,2184,294.0,498.0,0.203742,0.345114,-1.0516614119325955,0.7277625624958661,-9.693062408091318,5.768297516175785
198,2192,276.0,510.0,0.191268,0.35343,-1.0909652426512355,0.7723870758243999,-12.441360337118354,9.475661547905853
199,2198,260.0,522.0,0.18018,0.361746,-1.0795282694296888,0.7597007612809016,-11.029203651088263,8.528581827583237
200,2209,242.0,534.0,0.167706,0.370062,-1.2303016348616649,0.874556059752817,16.344628728988162,-11.027562925501186
201,2221,224.0,548.0,0.155232,0.379764,-1.139547582445271,0.8195565764641886,5.01121816939006,-3.307068408554044
202,2232,206.0,560.0,0.142758,0.38808,-1.0752138637708637,0.7758545427729178,1.0201573403844626,-0.1332747119262459
204,2257,168.0,588.0,0.116424,0.407484,,,,
206,2275,130.0,614.0,0.09009,0.425502,,,,
208,2294,92.0,642.0,0.063756,0.444906,,,,
209,2309,72.0,646.0,0.049896,0.447678,-1.1509019719684628,0.4280854600303953,4.476737496746559,-13.749909797473975
211,2329,36.0,654.0,0.024948,0.453222,,,,
