frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
3,28,852.0,106.0,0.5904360000000001,0.073458,,,,
12,152,852.0,104.0,0.5904360000000001,0.072072,-0.0222958566135144,-0.0068393658987992,-1.5491626960173523,2.0041048621212623
14,176,850.0,106.0,0.5890500000000001,0.073458,-0.028441464361635,0.0186242291358095,0.7939929613743649,0.9412195106611784
143,1550,848.0,108.0,0.5876640000000001,0.074844,-0.0589554115285981,0.0408866971353621,-2.1268482000360938,0.4982971788662419
145,1575,846.0,108.0,0.5862780000000001,0.074844,-0.1406967871300936,0.0863901467808671,-3.31815930360708,2.2771108128100326
146,1584,844.0,110.0,0.5848920000000001,0.07623,-0.1702740475836123,0.1018167269501571,-4.165312366887124,3.353249779621545
147,1591,840.0,112.0,0.5821200000000001,0.077616,-0.1956805254641694,0.1252711840486026,-1.3788217725829464,2.367621468239821
148,1604,838.0,114.0,0.5807340000000001,0.079002,-0.2065721712622115,0.1531576551800441,1.0055040374931066,0.3774080423918891
149,1613,834.0,116.0,0.5779620000000001,0.080388,-0.2215791332951815,0.1665581051451117,-1.473822003732679,2.19145642672985
150,1627,830.0,120.0,0.57519,0.08316,-0.2269534833752579,0.1736151810237101,-1.5852436350526031,0.7219835235500083
151,1638,828.0,122.0,0.573804,0.084546,-0.2597240652839797,0.1997460528162923,-1.7834277226721116,1.0985691651098664
152,1645,822.0,126.0,0.569646,0.087318,-0.2648458465191606,0.2074732461992341,-2.2725468436608303,0.962751688292189
153,1666,816.0,130.0,0.565488,0.09009,-0.3026262259247751,0.2209823616836515,-1.1713942213918846,0.5913108844316604
154,1670,812.0,134.0,0.562716,0.092862,-0.3300738945311393,0.2368774124329306,-2.380325889933556,1.384742615442157
155,1685,806.0,138.0,0.558558,0.095634,-0.3872791385650169,0.2763124884303294,-5.798294908504707,3.759443846256476
156,1698,800.0,142.0,0.5544,0.098406,-0.4315431418199704,0.3037491153853089,-3.909460524194031,2.345400169747378
157,1703,794.0,146.0,0.550242,0.101178,-0.4222140516158106,0.2944766187998935,-2.5942908771921087,2.3274115191367657
158,1714,786.0,152.0,0.544698,0.105336,-0.4604429436038887,0.3172101372663764,0.2321911639731365,-0.9143746852341308
159,1725,780.0,156.0,0.54054,0.108108,-0.4614414914315404,0.3169322225314988,2.7998125724735234,-2.579165232033088
160,1738,772.0,162.0,0.534996,0.112266,-0.4676292689797472,0.3100244870993969,-2.5577426884896517,0.8079604219474502
161,1749,764.0,166.0,0.529452,0.115038,-0.5086801758226355,0.3351767776761149,-5.515429638844223,3.75483908367186
162,1765,756.0,172.0,0.523908,0.119196,-0.5510941123642157,0.3817845355671739,-3.161987715102904,3.4569203287471195
163,1769,746.0,178.0,0.516978,0.123354,-0.5816961416264951,0.3963031500064027,-4.304388885748316,4.371390536851176
164,1780,738.0,184.0,0.511434,0.127512,-0.6232941575928836,0.4431703061267098,-3.664394471726384,3.1423246484960687
165,1794,728.0,192.0,0.5045040000000001,0.133056,-0.6379481887280701,0.449858061651429,2.508304838172342,-2.3179287679191893
166,1801,718.0,198.0,0.497574,0.137214,-0.6175040499868562,0.4424070960289024,-2.1368263782998875,0.9505549842678028
167,1812,708.0,206.0,0.490644,0.142758,-0.6622875258978669,0.4680371973700559,-2.8623645336215837,1.7017232502646225
168,1826,698.0,212.0,0.483714,0.146916,-0.6652340059012455,0.4578051233444821,0.9509225249677076,-1.2694965202627817
