frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
0,0,,,,,,,,
1,14,,,,,,,,
2,21,,,,,,,,
3,41,858,100,0.5945940000000001,0.0693,,,,
4,58,860,100,0.5959800000000001,0.0693,0.002104493530055903,4.990686371720425e-16,0.7217306417780609,-3.068813454697192e-14
5,68,858,100,0.5945940000000001,0.0693,0.00912812284161236,1.8697513550156688e-16,-0.4769775366171018,-2.3277885846309895e-14
6,78,858,100,0.5945940000000001,0.0693,0.006246691328413144,-3.1217584888457517e-16,0.06634466786150268,-2.0944099124635202e-14
7,106,860,100,0.5959800000000001,0.0693,-0.0019216401264319288,-6.523954914104242e-16,-0.07827726245422038,-5.068305934659913e-15
8,124,858,100,0.5945940000000001,0.0693,-0.013752647887833936,-6.606598031502474e-16,-1.1271218731074233,-4.796106335846948e-14
9,134,860,100,0.5959800000000001,0.0693,-0.008090523007144128,-3.419325811950326e-16,-0.5115072641200558,6.36587087347284e-15
10,146,858,100,0.5945940000000001,0.0693,-0.008856773364632087,3.650154059557944e-16,1.1541239183891723,-5.5621606674392097e-14
11,154,858,100,0.5945940000000001,0.0693,-0.0007414086583090743,-1.0686644851776882e-15,1.1483204229898938,1.1196912999640342e-14
12,179,858,100,0.5945940000000001,0.0693,0.015668258544290065,0.0,1.2580358316094644,3.604990183187441e-15
13,195,860,100,0.5959800000000001,0.0693,0.02138899565967535,7.306629280676941e-16,-0.044961636862341114,4.827750452897594e-15
14,203,860,100,0.5959800000000001,0.0693,0.016940003111614546,4.115664932889627e-16,-0.4356052576403022,9.762092165210656e-14
15,218,860,100,0.5959800000000001,0.0693,0.009720566393383269,9.341817427394611e-16,-1.1800331198627259,-6.929945936479124e-15
16,224,860,100,0.5959800000000001,0.0693,-0.008433712475859024,4.639480880176304e-16,-1.196697145636518,1.3010067306023254e-13
17,232,860,100,0.5959800000000001,0.0693,-0.009230132844393502,-8.530088299631943e-16,0.06461589415759153,-4.4102006919412274e-14
18,250,860,100,0.5959800000000001,0.0693,-0.004033661493509462,-4.588482014507133e-16,1.098745981357142,-2.085061142059175e-13
19,263,858,100,0.5945940000000001,0.0693,0.0029075818636907203,-4.3137012861752617e-16,0.886412500000857,-1.406946276012485e-15
20,275,860,100,0.5959800000000001,0.0693,0.0055311029478035,0.0,0.5953985641533897,3.9654478097178016e-14
