frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
4,44,848.0,108.0,0.5876640000000001,0.074844,,,,
10,152,848.0,110.0,0.5876640000000001,0.07623,6.209368041683293e-15,-0.0038729587098073,5.151919812622674e-13,-0.8537527004409429
12,168,848.0,108.0,0.5876640000000001,0.074844,-3.710030113620851e-15,-0.0082124436184144,2.457615341725779e-13,-0.9407714142350362
29,373,850.0,108.0,0.5890500000000001,0.074844,0.0131607168886911,0.0,-1.3886263786516626,-8.817660695659442e-14
32,400,848.0,108.0,0.5876640000000001,0.074844,0.0004416282090071,6.02386515270701e-16,1.381899408893286,2.3539393397944764e-14
33,406,850.0,108.0,0.5890500000000001,0.074844,0.0013687752505718,5.250000350131666e-16,0.5090791471447205,-5.1139219527673205e-14
43,513,848.0,108.0,0.5876640000000001,0.074844,-0.0006047259798464,-1.1697580458744072e-15,1.353308298111402,1.628780887255123e-13
44,524,850.0,108.0,0.5890500000000001,0.074844,0.0065903378040354,1.1837707902183813e-15,1.0521013760127074,3.6985229795742205e-14
50,575,848.0,108.0,0.5876640000000001,0.074844,-0.0178608889511869,-4.587855129878959e-16,-0.3799732461551748,-6.16676736324158e-14
51,594,850.0,108.0,0.5890500000000001,0.074844,-0.0045655086889106,0.0,1.9731447395473416,-1.5205404776769911e-13
52,609,848.0,108.0,0.5876640000000001,0.074844,0.0130301559070808,4.3267850325875263e-16,1.1921547103983252,-1.9254302355174284e-14
54,621,850.0,108.0,0.5890500000000001,0.074844,0.0006517886476872,0.0,-0.0476963203850596,-4.249268438521154e-15
57,657,848.0,108.0,0.5876640000000001,0.074844,-0.0248063658024919,9.14205153929654e-16,0.09481450173321,-5.930526818607161e-14
105,1188,850.0,108.0,0.5890500000000001,0.074844,0.0217151709235993,-4.783311679097546e-16,0.3452266010882822,-9.20769192324118e-14
106,1200,848.0,108.0,0.5876640000000001,0.074844,0.0228374430837811,4.939058562680625e-16,-0.1876482714858787,-5.558160063594111e-14
107,1211,850.0,108.0,0.5890500000000001,0.074844,0.004426755100083,-5.006900470225113e-16,-2.0789261048070764,7.229395112974937e-14
110,1242,848.0,108.0,0.5876640000000001,0.074844,-0.0275193993981432,-9.062516687756973e-16,0.6073001336924816,1.6019165484647793e-13
130,1474,846.0,108.0,0.5862780000000001,0.074844,-0.0257759780233385,0.0283562122577837,0.6049230199069959,0.5146605441673527
131,1479,846.0,110.0,0.5862780000000001,0.07623,-0.0246775245472982,0.0271808046347584,1.2894813152142033,-0.2639877397415029
135,1522,844.0,110.0,0.5848920000000001,0.07623,-0.0698388877691829,0.0403364743472696,-1.1312509753162283,1.90282225389482
136,1531,842.0,112.0,0.5835060000000001,0.077616,-0.0948877412956839,0.0577171887046909,-1.8766141870908413,1.978522065235161
138,1554,840.0,114.0,0.5821200000000001,0.079002,-0.1348620480211122,0.0979832013864871,-2.971621540731181,1.2065948533805384
