frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
0,0,,,,,,,,
1,13,,,,,,,,
2,18,,,,,,,,
3,32,852,106,0.5904360000000001,0.07345800000000001,,,,
4,44,852,106,0.5904360000000001,0.07345800000000001,-5.350084115628816e-15,-1.671901286134005e-16,-3.0697340936514895e-14,-4.962725744622859e-14
5,77,852,106,0.5904360000000001,0.07345800000000001,0.0,3.543585818405209e-16,-8.54826100665584e-13,-7.168222400566508e-14
6,88,852,106,0.5904360000000001,0.07345800000000001,-2.2635233689554578e-15,-2.829404211194322e-16,3.585274084507825e-14,-4.8143880694715106e-15
7,105,852,106,0.5904360000000001,0.07345800000000001,9.626854530476957e-15,9.025176122322148e-16,2.1387801478679582e-13,2.910089317468701e-14
8,123,852,106,0.5904360000000001,0.07345800000000001,0.0,-3.546766905592709e-16,2.8282439550437636e-14,2.6960290278392216e-15
9,142,852,106,0.5904360000000001,0.07345800000000001,-5.3528039377885505e-15,-3.345502461117844e-16,-2.620480130456294e-13,-2.2104112136381523e-14
10,150,852,106,0.5904360000000001,0.07345800000000001,-2.622655377657235e-15,-3.2783192220715436e-16,-2.3910817942164896e-13,-4.728337389006883e-14
11,160,852,106,0.5904360000000001,0.07345800000000001,2.6648124140042366e-15,3.331015517505296e-16,-5.335326361174878e-13,-4.05764656504771e-14
12,185,852,106,0.5904360000000001,0.07345800000000001,0.0,3.401050839540119e-16,1.1256609575412135e-13,6.57800906221752e-14
13,205,852,106,0.5904360000000001,0.07345800000000001,2.6516687578605577e-15,0.0,5.795750031632934e-14,-3.9559944858790674e-14
14,210,852,106,0.5904360000000001,0.07345800000000001,6.189434224457952e-15,-0.014029313360612786,6.423966096366347e-13,-0.6803556025175848
15,229,852,106,0.5904360000000001,0.07345800000000001,-7.104745334784387e-15,-0.004974499813948935,-2.7117477768680584e-13,0.2081740614330437
16,236,852,106,0.5904360000000001,0.07345800000000001,3.719387077065806e-15,-0.0035972255984085917,-7.310543286838784e-13,0.858925639068088
17,241,852,104,0.5904360000000001,0.072072,-6.577114841405559e-15,-0.008046772542206723,-5.025650517150932e-13,-0.302300901979894
18,258,852,106,0.5904360000000001,0.07345800000000001,6.598862221948224e-15,-0.009570079323242026,-5.925983175511428e-14,-0.8030331252190063
19,273,852,106,0.5904360000000001,0.07345800000000001,-6.394573597345059e-15,-0.01555994672125498,4.6440086976603186e-14,-0.9752400235469724
20,287,852,104,0.5904360000000001,0.072072,0.0,-0.014488902147130195,6.61165609966505e-15,-0.7794439023073934
21,301,852,104,0.5904360000000001,0.072072,3.2282246654889957e-15,-0.01669940407326455,1.1258939450623087e-13,0.8572887760657245
22,308,852,104,0.5904360000000001,0.072072,3.5424131475153774e-15,-0.0037448248724298062,-5.808476410467858e-13,2.172647924326005
23,323,852,104,0.5904360000000001,0.072072,0.0,0.0196458331562055,-7.502267205576668e-13,0.864343338581139
24,338,852,104,0.5904360000000001,0.072072,3.4497113598682937e-15,0.02402669525936424,-8.606454772098754e-13,0.2627700431710921
25,341,852,106,0.5904360000000001,0.07345800000000001,3.368955831164502e-15,0.024232509994531297,-5.631974849692387e-14,-0.24930812899177526
26,360,852,106,0.5904360000000001,0.07345800000000001,0.0,0.01694226355701791,-1.0805218337624951e-13,-1.1341479123638147
27,372,852,106,0.5904360000000001,0.07345800000000001,7.636307696855624e-15,0.007838939632597703,-4.2226694793871436e-13,-1.0172849464792675
28,381,852,106,0.5904360000000001,0.07345800000000001,7.711927892364165e-15,4.819954932727603e-16,9.785233240625318e-13,1.3415164123575217e-13
29,388,852,106,0.5904360000000001,0.07345800000000001,-4.376590911822317e-15,-5.470738639777896e-16,-1.5621951211815824e-12,-3.205522385966039e-14
30,400,852,106,0.5904360000000001,0.07345800000000001,4.3596862873844e-15,0.0,2.1476769731565027e-12,3.4124799320346367e-13
31,409,852,106,0.5904360000000001,0.07345800000000001,-8.315635805202094e-15,0.0,-8.475112993092342e-13,-2.0297800783210128e-13
32,418,852,106,0.5904360000000001,0.07345800000000001,8.535443526671028e-15,-0.013978995956368577,-4.4322035740915424e-13,-1.4183839413138202
