frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
0,0,,,,,,,,
1,11,,,,,,,,
2,18,,,,,,,,
3,28,852,106,0.5904360000000001,0.07345800000000001,,,,
4,39,852,106,0.5904360000000001,0.07345800000000001,-4.062697967373015e-15,-1.1849535738171293e-15,4.2500592557991424e-14,9.262836950271177e-15
5,55,852,106,0.5904360000000001,0.07345800000000001,-1.2717573286864193e-15,0.0,2.877318341004129e-13,-3.4729930900496224e-15
6,89,852,106,0.5904360000000001,0.07345800000000001,0.0,8.687769155292173e-16,2.830207075446836e-13,6.415407877172217e-14
7,101,852,106,0.5904360000000001,0.07345800000000001,2.484864807010384e-15,-3.10608100876298e-16,6.318634716712381e-13,3.464219986747718e-14
8,113,852,106,0.5904360000000001,0.07345800000000001,1.4622127752782917e-14,1.4622127752782916e-15,-7.37340415571128e-14,5.388663492389454e-14
9,122,852,106,0.5904360000000001,0.07345800000000001,3.8859627449611644e-15,-0.013630092330060553,-6.191379593950306e-13,-1.3515746074604074
10,137,852,106,0.5904360000000001,0.07345800000000001,-8.093098820836816e-15,-0.03249691787719573,-7.540510953464613e-14,-1.731294826499379
11,145,852,106,0.5904360000000001,0.07345800000000001,-0.01721578557895215,-0.01122402712596352,-1.5546897218843319,1.0768716057930008
12,152,852,104,0.5904360000000001,0.072072,-0.022295856613514426,-0.006839365898799299,-1.5491626960173523,2.0041048621212623
13,162,852,104,0.5904360000000001,0.072072,-0.02920333979899306,-0.0024300111685085267,-0.15101715142252486,1.9292380158218196
14,176,850,106,0.5890500000000001,0.07345800000000001,-0.02844146436163506,0.018624229135809516,0.7939929613743649,0.9412195106611783
15,184,850,106,0.5890500000000001,0.07345800000000001,-0.02237675988969295,0.022376759889691906,1.5437087975720043,-1.5437087975731665
16,198,850,106,0.5890500000000001,0.07345800000000001,-0.0066483766575680696,0.006648376657581285,1.686188353696258,-1.6861883536951927
17,201,850,106,0.5890500000000001,0.07345800000000001,8.979289933658196e-15,0.0,-1.109575889676626e-12,-7.323498044754125e-14
18,212,850,106,0.5890500000000001,0.07345800000000001,7.947925210533066e-15,0.0,3.433394756926436e-13,9.017246081200841e-14
19,222,850,106,0.5890500000000001,0.07345800000000001,3.5916572387474705e-15,0.0,-1.3703913556869079e-13,4.131759701596913e-15
20,232,850,106,0.5890500000000001,0.07345800000000001,3.3900927429301135e-15,8.475231857325284e-16,-4.066341453687599e-13,-1.0503565098572775e-13
21,251,850,106,0.5890500000000001,0.07345800000000001,-3.3181665492922023e-15,-4.147708186615253e-16,-3.721832222692578e-13,-3.885481540678769e-14
22,264,850,106,0.5890500000000001,0.07345800000000001,3.1896903211897335e-15,3.987112901487167e-16,-5.021316197515358e-13,-6.474584030888341e-15
23,270,850,106,0.5890500000000001,0.07345800000000001,0.0,0.0,-1.1411247096364033e-12,-1.890722787821347e-13
24,286,850,106,0.5890500000000001,0.07345800000000001,-6.8272956260102046e-15,0.0,2.288995795452122e-13,-1.743418262152065e-14
25,301,850,106,0.5890500000000001,0.07345800000000001,0.0,-4.262528641399082e-16,-2.862287240938794e-13,1.0425515917122652e-13
26,307,850,106,0.5890500000000001,0.07345800000000001,3.4348204499516266e-15,4.2935255624395333e-16,3.3564042222958054e-13,1.0368150243386923e-13
27,326,850,106,0.5890500000000001,0.07345800000000001,7.124833332382036e-15,1.3359062498216318e-15,8.311760635376821e-13,1.6953209346548878e-13
28,333,850,106,0.5890500000000001,0.07345800000000001,-3.745754818764497e-15,-9.364387046911242e-16,3.521609510955726e-13,-4.271895407035633e-14
29,343,850,106,0.5890500000000001,0.07345800000000001,-7.507550287478637e-15,-9.384437859348296e-16,1.8200332128097643e-12,2.4265145609696665e-13
30,357,850,106,0.5890500000000001,0.07345800000000001,1.1424100674951065e-14,9.520083895792555e-16,8.112106265209326e-14,-3.3273094056230597e-14
