frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
0,0,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,
2,22,,,,,,,,,,,,,,,,
3,33,,,,,,,,,,,,,,,,
4,53,,,,,,,,,,,,,,,,
5,72,,,,,,,,,,,,,,,,
6,82,,,,,,,,,,,,,,,,
7,95,,,,,,,,,,,,,,,,
8,105,,,,,,,,,,,,,,,,
9,122,,,,,,,,,,,,,,,,
10,132,,,,,,,,,,,,,,,,
11,144,,,,,,,,,,,,,,,,
12,154,,,,,,,,,,,,,,,,
13,165,,,,,,,,,,,,,,,,
14,199,,,,,,,,,,,,,,,,
15,212,,,,,,,,,,,,,,,,
16,216,,,,,,,,,,,,,,,,
17,232,,,,,,,,,,,,,,,,
18,243,,,,,,,,,,,,,,,,
19,248,,,,,,,,,,,,,,,,
20,259,,,,,,,,,,,,,,,,
21,265,,,,,,,,,,,,,,,,
22,284,,,,,,,,,,,,,,,,
23,294,,,,,,,,,,,,,,,,
24,302,,,,,,,,,,,,,,,,
25,319,,,,,,,,,,,,,,,,
26,324,,,,,,,,,,,,,,,,
27,341,,,,,,,,,,,,,,,,
28,344,,,,,,,,,,,,,,,,
29,362,,,,,,,,,,,,,,,,
30,365,,,,,,,,,,,,,,,,
31,372,,,,,,,,,,,,,,,,
32,378,,,,,,,,,,,,,,,,
33,382,,,,,,,,,,,,,,,,
34,404,,,,,,,,,,,,,,,,
35,422,,,,,,,,,,,,,,,,
36,428,,,,,,,,,,,,,,,,
37,434,,,,,,,,,,,,,,,,
38,448,,,,,,,,,,,,,,,,
39,459,,,,,,,,,,,,,,,,
40,475,,,,,,,,,,,,,,,,
41,482,,,,,,,,,,,,,,,,
42,487,,,,,,,,,,,,,,,,
43,505,,,,,,,,,,,,,,,,
44,515,,,,,,,,,,,,,,,,
45,521,,,,,,,,,,,,,,,,
46,540,,,,,,,,,,,,,,,,
47,545,,,,,,,,,,,,,,,,
48,551,,,,,,,,,,,,,,,,
49,567,,,,,,,,,,,,,,,,
50,579,,,,,,,,,,,,,,,,
51,588,,,,,,,,,,,,,,,,
52,602,,,,,,,,,,,,,,,,
53,610,,,,,,,,,,,,,,,,
54,628,,,,,,,,,,,,,,,,
55,638,,,,,,,,,,,,,,,,
56,642,,,,,,,,,,,,,,,,
57,653,,,,,,,,,,,,,,,,
58,660,,,,,,,,,,,,,,,,
59,667,,,,,,,,,,,,,,,,
60,675,,,,,,,,,,,,,,,,
61,690,,,,,,,,,,,,,,,,
62,699,,,,,,,,,,,,,,,,
63,703,,,,,,,,,,,,,,,,
64,722,,,,,,,,,,,,,,,,
65,728,,,,,,,,,,,,,,,,
66,737,,,,,,,,,,,,,,,,
67,743,,,,,,,,,,,,,,,,
68,759,,,,,,,,,,,,,,,,
69,765,,,,,,,,,,,,,,,,
70,777,,,,,,,,,,,,,,,,
71,789,,,,,,,,,,,,,,,,
72,798,,,,,,,,,,,,,,,,
73,811,,,,,,,,,,,,,,,,
74,822,,,,,,,,,,,,,,,,
75,831,,,,,,,,,,,,,,,,
76,848,,,,,,,,,,,,,,,,
77,855,,,,,,,,,,,,,,,,
78,866,,,,,,,,,,,,,,,,
79,878,,,,,,,,,,,,,,,,
80,887,,,,,,,,,,,,,,,,
81,900,,,,,,,,,,,,,,,,
82,907,,,,,,,,,,,,,,,,
83,920,,,,,,,,,,,,,,,,
84,930,,,,,,,,,,,,,,,,
85,942,,,,,,,,,,,,,,,,
86,952,,,,,,,,,,,,,,,,
87,964,,,,,,,,,,,,,,,,
88,974,,,,,,,,,,,,,,,,
89,986,,,,,,,,,,,,,,,,
90,996,,,,,,,,,,,,,,,,
91,1007,,,,,,,,,,,,,,,,
92,1021,,,,,,,,,,,,,,,,
93,1032,,,,,,,,,,,,,,,,
94,1048,,,,,,,,,,,,,,,,
95,1053,,,,,,,,,,,,,,,,
96,1064,,,,,,,,,,,,,,,,
97,1080,,,,,,,,,,,,,,,,
98,1091,,,,,,,,,550,1008,0.37620000000000003,0.6894720000000001,,,,
99,1097,,,,,,,,,550,996,0.37620000000000003,0.6812640000000001,1.4985568117907083e-14,-0.6866536812255283,-8.682663067816582e-13,-10.862814766480033
100,1114,,,,,,,,,550,984,0.37620000000000003,0.673056,2.2485025227430623e-15,-0.8366422163840183,-3.0539018755169825e-14,-3.3013685802795556
101,1122,,,,,,,,,550,968,0.37620000000000003,0.662112,-1.7573949169242373e-15,-0.8478146279378176,-3.153135939075792e-13,-1.3426383634800896
102,1134,,,,,,,,,550,952,0.37620000000000003,0.6511680000000001,-3.154730207791949e-15,-0.8105803874396482,1.7244775678662909e-13,2.0593970640401182
103,1148,,,,,,,,,550,936,0.37620000000000003,0.640224,0.0,-0.8469598833897374,-4.3945522261680354e-13,4.658772768563428
104,1161,,,,,,,,,550,920,0.37620000000000003,0.6292800000000001,-0.011971611083733067,-0.8777109691466455,-0.8647471711517163,-5.521014814389803
105,1180,,,,,,,,,550,904,0.37620000000000003,0.618336,-0.02886411337860771,-0.9742785384464454,-1.0758246441649477,-7.349959862987464
106,1188,,,,,,,,,550,888,0.37620000000000003,0.607392,-0.02254224438232239,-0.9063222244075297,-0.25884896999237605,-0.31828567919617246
107,1191,16,288,0.010944,0.196992,,,,,548,872,0.374832,0.596448,-0.031144121801523216,-0.9482215853743181,-0.5711182137557997,0.07420902323366686
108,1207,36,292,0.024624,0.19972800000000002,0.8888788795616533,0.2076057034119472,20.649436803161795,3.3768439432892485,548,856,0.374832,0.585504,-0.04171464480018691,-1.0086039251816448,0.11817977121295874,5.464743617420682
109,1225,58,298,0.039672,0.203832,1.0727320561344622,0.22953456712808676,4.071510699402284,-0.052327324009659774,548,838,0.374832,0.573192,-0.03163776665233304,-0.9068493367184703,0.5042260595751652,0.7183016948795895
110,1232,78,302,0.053352000000000004,0.206568,1.1782737976812967,0.25542787860035615,8.896786823205522,1.5923756267840001,546,822,0.373464,0.5622480000000001,-0.022813521025625068,-0.9391198916945956,0.07035132870046323,-6.988699651013832
111,1243,100,306,0.0684,0.20930400000000002,1.3865930519162062,0.30007593718305986,15.428447264499829,2.927429617123643,546,806,0.373464,0.551304,-0.019944824701673605,-1.1005763056750621,0.9914812268277706,-12.074098184309056
112,1260,120,310,0.08208,0.21204,1.4685341985315634,0.33924343796019124,3.672834579137829,3.0933459053548775,546,788,0.373464,0.538992,-0.03354129462017592,-1.1415978018046415,-0.5467203687073806,-1.5808200334309925
113,1264,142,316,0.097128,0.216144,1.3573601022464392,0.3077873067455609,-2.4815544473664426,0.3021657770376852,546,772,0.373464,0.5280480000000001,-0.023012077604878643,-1.0732419360494434,-1.1837566880598693,1.5380228986550921
114,1269,162,320,0.110808,0.21888000000000002,1.3863336174837402,0.3211765310658751,-5.234556885778237,-2.0022086492014144,546,756,0.373464,0.517104,-0.02582496276564603,-1.1017179244094686,-0.33992004415476035,4.828595245306838
115,1284,184,326,0.125856,0.22298400000000002,1.369282536223405,0.3166774099985332,-17.920663115248285,-4.174671608787092,544,740,0.37209600000000004,0.50616,-0.03520354759078172,-1.0688566638464434,1.371491166302185,13.38617614171333
116,1298,204,330,0.13953600000000002,0.22572,1.1447362804632484,0.25775394877692903,-3.4038859846933893,-0.8453772391828644,544,722,0.37209600000000004,0.493848,-0.020388545617732495,-0.8963571028849147,1.3238625433650608,3.4563290543786658
117,1308,226,334,0.154584,0.22845600000000002,1.155743650056978,0.25341886258128327,7.023174966427305,0.8516353068654778,544,706,0.37209600000000004,0.482904,-0.022623509433605363,-0.9025030793000867,0.17178700761369375,-4.94223368760618
118,1325,246,340,0.168264,0.23256000000000002,1.2806312332504877,0.26640447588944316,8.95432861674781,1.363223132047519,544,690,0.37209600000000004,0.47196000000000005,-0.02739843059485652,-1.0003244514380645,-1.3048559281381593,-6.404211323832626
119,1335,268,344,0.183312,0.235296,1.211441320498915,0.2502746249249875,-1.7764792203762836,-1.2369755310104371,544,674,0.37209600000000004,0.46101600000000004,-0.024200075924887945,-0.9462266814723455,-0.32081568300228164,0.2337068088083027
120,1343,290,348,0.19836,0.23803200000000002,1.2172659451580483,0.2580243369446895,-0.08940956020598145,-0.18049598332341274,542,656,0.370728,0.44870400000000005,-0.024650115973958178,-0.9525427256406114,0.3393261405109696,0.12031502146634365
121,1354,310,352,0.21204,0.240768,1.2921609147530428,0.262868566007214,-6.181446515917216,0.4761055601077955,542,640,0.370728,0.43776000000000004,-0.034105594436447485,-1.0189659118290706,0.11129589918696368,3.7570943579525973
122,1371,330,356,0.22572,0.24350400000000003,1.1981734567965463,0.27025560032361584,-1.8602160879101957,1.148185061148219,542,624,0.370728,0.42681600000000003,-0.03213678542305451,-0.9505661345404064,-0.04591578627687895,1.9054198778075622
123,1380,352,362,0.240768,0.24760800000000002,1.2182826567624658,0.28183742265117645,6.424834125919649,2.1682965444275255,542,608,0.370728,0.415872,-0.025901070359145524,-0.9623463044704402,-0.6771050643468914,-4.933642645838964
124,1390,372,366,0.254448,0.250344,1.1802094917325483,0.272211330006366,-1.6232401589847707,-0.7764839349079709,540,590,0.36936,0.40356000000000003,-0.02447291090161456,-0.9432597185042328,0.3686101190678173,0.15957825580926327
125,1405,394,372,0.269496,0.254448,1.2160427117175072,0.2829501771275417,-6.473406907991541,-1.9351954549003971,540,574,0.36936,0.392616,-0.032874161990487726,-0.9752887541658762,0.21323994107578692,4.619430810540593
126,1412,414,376,0.28317600000000004,0.257184,1.1599635663194663,0.2653864686370735,-2.769739584512513,-0.5530792010664607,540,558,0.36936,0.381672,-0.03148356939831113,-0.9325269696905697,0.07989663850966307,3.0561253641997603
127,1430,434,380,0.296856,0.25992000000000004,1.136608339194209,0.09624153974179635,-0.16658439796602878,-9.576704298361603,540,540,0.36936,0.36936,0.033587563742639256,-0.8121654479502873,3.5187619121846616,6.0463600978653105
128,1439,456,386,0.311904,0.26402400000000004,1.0353438068967926,-0.08045289588030902,-9.114035145615848,-21.06233131240065,538,524,0.36799200000000004,0.358416,0.14129771458526846,-0.6297605886795616,13.839479077884333,23.67701537986418
129,1454,,,,,,,,,538,508,0.36799200000000004,0.347472,0.38617592101234377,-0.2130857910744552,18.40398957570022,27.912234130974515
130,1461,490,378,0.33516,0.258552,0.8229507278571463,-0.777232693395662,-21.453727735584447,-50.859430786697935,546,508,0.373464,0.347472,0.552553628395756,-0.0020567643020884337,30.17085786167734,45.527092984358596
131,1475,498,358,0.34063200000000005,0.244872,0.6351033985006307,-1.238688738014248,-10.541734394954435,-35.03748190812238,560,516,0.38304000000000005,0.35294400000000004,0.816667779080779,0.395130310272421,19.58437350487208,27.92736195856886
132,1484,506,338,0.346104,0.231192,0.5233613341363158,-1.3915020300738181,-0.8249817177289479,2.1862039151384134,572,524,0.39124800000000004,0.358416,0.8413028337978999,0.482796769224774,-1.1557400197940746,2.7372082831276656
133,1488,512,318,0.350208,0.217512,0.5085781127477019,-1.346341069511009,-3.0403873796689136,9.211760342184931,584,532,0.39945600000000003,0.36388800000000004,0.8380926452348351,0.5121460851717338,-5.666706920311372,-3.8419771892897843
134,1500,520,298,0.35568,0.203832,0.5086262237794672,-1.3490692034411296,-4.685797862245883,15.820762964937373,596,538,0.407664,0.36799200000000004,0.8243777256244287,0.5048063441000192,-8.134665875359314,-5.077865172723333
135,1513,528,278,0.36115200000000003,0.19015200000000002,0.4691357077871991,-1.2159743120719821,0.6385684987791018,0.03046406405568532,608,546,0.415872,0.373464,0.7495094826467947,0.45846749795258396,-0.25541546119379693,1.19758024035211
136,1528,536,258,0.366624,0.17647200000000002,0.47287834778251087,-1.2077219442093023,2.256071065365875,-6.841816636924192,622,554,0.42544800000000005,0.378936,0.7332755990667376,0.4657710430688275,3.089005490459836,3.395666354007041
137,1538,544,238,0.37209600000000004,0.16279200000000002,0.5039217518728398,-1.288446837045014,3.576534470902176,-9.721080310204698,634,562,0.43365600000000004,0.384408,0.7741454135644994,0.5039217518728417,4.243132803205992,3.5765344709028932
138,1546,552,216,0.377568,0.14774400000000001,0.5774298003141859,-1.4740119814569264,7.241665569611933,-18.215478971152415,646,570,0.44186400000000003,0.38988,0.893595790661659,0.5774298003141837,10.27548419037909,7.241665569611562
139,1559,560,196,0.38304000000000005,0.13406400000000002,0.5496033462789764,-1.3972712772184035,-3.852256876303879,11.115300637088495,658,578,0.450072,0.39535200000000004,0.8486857597366694,0.5496033462789787,-4.791550396163204,-3.852256876303398
140,1567,568,176,0.388512,0.120384,0.5316697886090628,-1.357705191292445,-4.862489111778503,12.220966929316203,670,586,0.45828,0.400824,0.8236529523577814,0.5200862595464292,-7.119859365052056,-6.187994623322133
141,1570,576,156,0.393984,0.10670400000000001,0.5296165216377513,-1.3351670467458174,-1.7953357984060836,2.8780250149008397,684,594,0.46785600000000005,0.40629600000000005,0.8252740040863805,0.5184907789862856,-3.2546745255299245,-3.4056502795174013
142,1590,584,136,0.39945600000000003,0.09302400000000001,0.5585355691050868,-1.432347825499075,3.957609159248393,-11.322710143284429,696,602,0.47606400000000004,0.411768,0.8534788641890033,0.5225266663687468,3.9841248620180525,2.528921914088302
143,1601,592,114,0.404928,0.077976,0.552601221814684,-1.4079219385291926,4.3705193322620435,-10.527433449224553,708,608,0.48427200000000004,0.415872,0.8616820915862853,0.5261823378221813,7.34718519737933,4.769384213690697
144,1607,600,94,0.41040000000000004,0.064296,0.5720520252199929,-1.4706066987374773,7.105050615601389,-18.160697537708273,720,616,0.49248000000000003,0.421344,0.8897648714267841,0.5507124526309487,12.342866544987233,7.931048288463498
145,1613,608,74,0.415872,0.050616,0.6129125128904002,-1.5725710456784567,-7.668062601571053,21.454026629551382,732,624,0.500688,0.42681600000000003,0.950668126154181,0.5861262807643268,-11.630854028789416,-6.08501603134602
146,1627,616,54,0.421344,0.036936000000000004,0.5188589345123362,-1.3038877298923373,-12.22154875386688,32.298420529111006,746,632,0.510264,0.432288,0.8310725883171277,0.5266154720661622,-15.004499120843787,-10.296959259906359
147,1633,624,32,0.42681600000000003,0.021888,0.44333152756139754,-1.105518926009942,-9.86847893975541,27.397395360500436,758,640,0.518472,0.43776000000000004,0.7228406428085915,0.4517294323799906,-8.42214549383285,-5.720784736196659
148,1652,632,14,0.432288,0.009576000000000001,,,,,770,648,0.52668,0.443232,0.5907009346353844,0.36024479799028797,-1.458661881294771,-1.2832592124013662
149,1673,,,,,,,,,782,654,0.534888,0.447336,0.5366907551843859,0.32831220551933005,-1.023279379827471,-0.6487856258643435
150,1681,,,,,,,,,794,662,0.543096,0.45280800000000004,0.552773431143852,0.330854288608368,2.630465307090691,1.5726093721559198
151,1697,,,,,,,,,808,670,0.552672,0.45828,0.6322639838480455,0.3796730842835148,4.275837525364136,3.034013680777222
152,1719,,,,,,,,,820,678,0.56088,0.46375200000000005,0.6388634726047293,0.38285216479880624,-0.3376348605094162,-0.4988462285937741
153,1722,,,,,,,,,832,684,0.569088,0.46785600000000005,0.6568508778399565,0.38505932331471693,3.2788814496335075,1.458011970958117
154,1732,,,,,,,,,844,692,0.577296,0.473328,0.6927542369854134,0.4081894121404544,3.9063503196615117,1.8816731500331016
155,1753,,,,,,,,,858,700,0.5868720000000001,0.4788,0.7654521346686608,0.45987807683000914,0.8525166391447686,1.7437273833889824
156,1759,,,,,,,,,870,706,0.59508,0.482904,0.7563126197929334,0.4669393543929393,5.566465166281344,4.628895861061762
157,1770,,,,,,,,,882,714,0.603288,0.48837600000000003,0.8618043981152487,0.5180728050605391,10.30787634020213,6.6696133424246415
158,1780,,,,,,,,,894,722,0.611496,0.493848,0.8709851064469687,0.5264079153569783,-4.565285879916337,-3.704286791917255
159,1790,,,,,,,,,906,730,0.619704,0.49932000000000004,0.8711111071600686,0.5138369716270799,1.58576396520741,-1.6459644367695685
160,1796,,,,,,,,,920,736,0.6292800000000001,0.503424,0.9254270320657357,0.5327536534553181,5.0738009833712585,0.8984097116064823
161,1812,,,,,,,,,932,744,0.637488,0.508896,0.847807388203319,0.4848974478638243,-7.584119057032282,-3.3478688008372885
162,1816,,,,,,,,,944,750,0.645696,0.513,0.8419754670641012,0.4738266432062529,-7.7039471284697205,-3.5626311616073236
163,1824,,,,,,,,,958,758,0.6552720000000001,0.518472,0.7774576852616015,0.4534471386715498,-0.7423659474222141,-1.0703478057254303
164,1843,,,,,,,,,970,766,0.6634800000000001,0.5239440000000001,0.7753785226871618,0.44432818819365255,-1.6516349000724484,-1.0131868439596288
165,1853,,,,,,,,,982,772,0.6716880000000001,0.5280480000000001,0.7809553158974774,0.4447087896134918,5.528153152384414,2.4031359578250124
166,1862,,,,,,,,,996,780,0.6812640000000001,0.53352,0.9020570494654621,0.505545410667247,13.58976351021412,6.8332706398616665
167,1872,,,,,,,,,1006,786,0.688104,0.537624,,,,
168,1882,,,,,,,,,,,,,,,,
169,1895,,,,,,,,,,,,,,,,
170,1907,,,,,,,,,,,,,,,,
171,1910,,,,,,,,,,,,,,,,
