frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
146,1598,58,964,0.039672,0.6593760000000001,0.5564789277841852,-0.621058516826399,7.736523772419701,-7.415541489320306,548,1002,0.374832,0.6853680000000001,-0.059681717116907174,-0.4462980294675967,-4.477786945225402,-11.798164619644275
147,1608,68,954,0.046512000000000005,0.652536,0.5983340738868764,-0.6471152718081332,6.988117931669129,-6.391270336351452,546,994,0.373464,0.6798960000000001,-0.09467202079399403,-0.5530083214777007,0.5813441680455601,-5.9720726206035
148,1621,78,942,0.053352000000000004,0.644328,0.6610953787319966,-0.7005259928550863,3.2400530176654248,-1.2264643644743383,544,984,0.37209600000000004,0.673056,-0.07462716803876694,-0.6130935597359135,1.770589932740441,-4.300521487657853
149,1628,90,930,0.061560000000000004,0.63612,0.6877536181020972,-0.7072005450954384,0.14016254254998076,2.3677802547278115,542,974,0.370728,0.666216,-0.0723010105437925,-0.6424689192989822,3.0977258384744175,-1.9311086918491354
150,1642,102,918,0.06976800000000001,0.627912,0.7009521565546786,-0.6872303145459577,0.7000282778899604,2.700135450417907,542,962,0.370728,0.658008,-0.026585105763128974,-0.6790627154648039,3.448131668334536,-1.8351942974506574
151,1654,114,906,0.077976,0.619704,0.702692872032766,-0.6715259558494178,-1.265923131220242,1.418694226440294,542,950,0.370728,0.6498,0.003846471333555259,-0.689392673779568,1.9670959493037783,0.3095747145042092
152,1668,128,894,0.087552,0.611496,0.7394354621934108,-0.6998953534288219,4.786232221856701,-4.690490401664791,542,936,0.370728,0.640224,0.03996592372252204,-0.7394354621934054,1.6737170494580063,-4.78623222185682
153,1680,142,882,0.097128,0.603288,0.8315747726367637,-0.7750948272034817,7.828528530857991,-7.4092880132354875,544,922,0.37209600000000004,0.630648,0.06932530003682341,-0.8138695456095454,2.59428729968326,-6.4936049144924795
154,1694,154,868,0.105336,0.593712,0.8287235752488651,-0.7553513721437513,2.135672827894771,-1.1998212532536843,544,910,0.37209600000000004,0.62244,0.06976570387053677,-0.8025014534566147,0.47966145251062164,-1.0642522181470138
155,1699,168,856,0.114912,0.585504,0.8207325221783577,-0.7604625586636671,-3.456421351453515,4.294137727271582,546,896,0.373464,0.6128640000000001,0.07769287854043383,-0.8055148551305569,-0.330413047946866,2.5998044530871494
156,1709,182,844,0.124488,0.577296,0.829676863488032,-0.7629430200966254,-3.193581402547979,4.436725477886163,548,884,0.374832,0.6046560000000001,0.07816041027796812,-0.8095695638758317,0.6018722212557696,2.3739811885818
