frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
149,1665,,,,,,,,,,,,,,,,
150,1679,,,,,,,,,,,,,,,,
151,1688,,,,,,,,,,,,,,,,
152,1703,,,,,,,,,,,,,,,,
153,1709,,,,,,,,,,,,,,,,
154,1719,,,,,,,,,,,,,,,,
155,1733,,,,,,,,,548,1008,0.374832,0.6894720000000001,,,,
156,1744,,,,,,,,,550,1000,0.37620000000000003,0.684,0.06551881786238299,-0.5426249284177284,-4.116253617283456,-18.91714940893571
157,1754,,,,,,,,,550,990,0.37620000000000003,0.67716,0.030374625493771172,-0.6956979182350738,-1.8816391358029603,-5.513754217471159
158,1767,,,,,,,,,550,978,0.37620000000000003,0.668952,0.026422330381279703,-0.7443527616890419,-0.019654854063884383,-3.4234413966997255
159,1773,,,,,,,,,550,964,0.37620000000000003,0.6593760000000001,0.015059541548453044,-0.7750990316703765,1.0755246607945423,0.4207832995417665
160,1789,,,,,,,,,550,950,0.37620000000000003,0.6498,0.027285533975998446,-0.8409801193951715,0.756878438975656,-4.0782738854466185
161,1801,,,,,,,,,552,936,0.377568,0.640224,0.026366314040601416,-0.926221136429725,-0.3618501071486059,-8.754669513586395
162,1814,,,,,,,,,552,922,0.377568,0.630648,0.03976679061981438,-0.9806280348108687,0.38898645679236715,-9.552330183590884
163,1819,20,466,0.013680000000000001,0.318744,,,,,552,906,0.377568,0.619704,0.03952687803432558,-0.9715039648852472,-0.08084240006321404,0.17933805045995377
164,1829,40,464,0.027360000000000002,0.317376,1.2436092428871595,-0.07055531420336342,-7.071143637267998,-0.9971477582997033,552,892,0.377568,0.610128,0.027504141168831684,-0.9835618791498885,0.21989935735459862,6.461460423316607
165,1840,58,464,0.039672,0.317376,1.176279110025486,-0.08227982104382472,-1.1603249407910905,-1.4245958414334456,554,878,0.378936,0.6005520000000001,0.03973530517878425,-0.9557477090413924,0.42069715636713517,7.317991855652062
166,1852,78,462,0.053352000000000004,0.316008,1.1338362384571954,-0.09391545939237798,-4.48757375135741,-0.7876460315170157,554,864,0.378936,0.5909760000000001,0.04148880915284372,-0.8519688478861969,-0.21210240559905782,1.6315041548337057
167,1865,98,460,0.06703200000000001,0.31464000000000003,1.1357096450439992,-0.09288035421957186,1.2931459734314286,-0.2855268307650678,554,848,0.378936,0.580032,0.03652818503317427,-0.8664491122363559,-0.6516085635547084,-1.9635422531900497
168,1875,118,458,0.080712,0.313272,1.1859742714780555,-0.09975458783775924,5.391778326572738,0.6779248380331555,556,834,0.38030400000000003,0.5704560000000001,0.04026758740974774,-0.9080936065825163,1.0583869859277433,-4.982968530713406
169,1890,136,456,0.09302400000000001,0.311904,1.1327654430283423,-0.09284009630037453,-2.590117084325496,0.4989784201691646,556,818,0.38030400000000003,0.559512,0.0415641496288949,-0.8774211867551662,-0.11971581532016552,1.8839035729398632
170,1897,156,456,0.10670400000000001,0.311904,1.1502466114882746,-0.0843446153164455,-2.92085691260564,0.8442991582323455,556,804,0.38030400000000003,0.549936,0.03990964102640061,-0.8914150677944056,-0.804339324150386,1.95885841555454
171,1906,174,454,0.11901600000000001,0.31053600000000003,1.1580452962951449,-0.07962665156392607,2.328141493253234,-0.04587093941017495,558,790,0.381672,0.5403600000000001,0.027306982111744555,-0.9070923423785492,-0.402788571111153,-1.6647268731624218
172,1924,194,452,0.132696,0.309168,1.2412547157315441,-0.09346776825727314,4.0165067121738645,-1.1925617385322758,558,774,0.381672,0.529416,0.036658102777369375,-0.973266909587322,0.07269654833087864,-4.5495987923499595
173,1932,212,452,0.145008,0.309168,1.22728812369461,-0.10309931298150281,8.004190249421397,-1.0983912472269985,558,760,0.381672,0.5198400000000001,0.03642390062718819,-0.9511245434197849,0.22643495832913357,-4.9588378704928555
174,1941,232,450,0.158688,0.3078,1.1963939672415969,-0.1038742818258451,1.9391040032343796,-1.2387225458784135,558,744,0.381672,0.508896,0.026269733978374614,-0.936031618768154,0.4919851930104369,-1.44846256991014
175,1950,250,448,0.171,0.30643200000000004,1.2586315351873558,-0.10783870367728743,-16.505189287567998,1.8828334328590137,560,730,0.38304000000000005,0.49932000000000004,0.03280178608260896,-0.9777531421285396,-0.9858252319825008,13.210377930707294
176,1962,270,446,0.18468,0.305064,1.1054323490532905,-0.10188886286799591,-10.356256084736385,2.26380224671235,560,716,0.38304000000000005,0.489744,0.03256215187319099,-0.8538769675305824,-0.3999507384484326,8.404695004518274
177,1975,288,444,0.196992,0.303696,1.00824914531712,-0.08371101755700372,-1.353136015412916,0.6606331352622873,560,700,0.38304000000000005,0.4788,0.02917416375286037,-0.7760891464408638,-0.02703563545211321,0.7755658295567979
178,1995,308,444,0.210672,0.303696,1.1301983422872885,-0.0753461667830184,9.425905891596335,-0.09815924000847945,560,686,0.38304000000000005,0.46922400000000003,0.03104985633963323,-0.877661504428673,0.8639441244915854,-7.624366434973612
179,2002,326,442,0.22298400000000002,0.30232800000000004,1.0897573699713272,-0.07402542679066197,6.7657478691600925,-0.591497238652452,562,672,0.384408,0.459648,0.03911180086616124,-0.852063012296081,0.9745979042151974,-5.395162450057568
180,2015,346,440,0.236664,0.30096,1.0963913397418692,-0.0796898798166651,0.8295003662447747,-0.8534482412688578,562,656,0.384408,0.44870400000000005,0.04151294909233528,-0.8541366262207738,0.1736243248755103,-1.6493951680687333
181,2020,364,440,0.248976,0.30096,1.2172070263850803,-0.09726306046409389,-6.935997362387565,-0.03526183338938426,562,642,0.384408,0.439128,0.04671948852689999,-0.9565346473728927,-1.0127097678518233,6.738324504211365
182,2037,384,438,0.262656,0.299592,1.166017319048583,-0.10250480742218529,3.358898692516349,-1.5176376474644897,564,626,0.385776,0.428184,0.026004808825598923,-0.8999993955217277,-0.5469281676625969,-1.361476556493142
183,2050,402,436,0.274968,0.298224,1.3166116588390113,-0.10971013623799832,14.97943397342717,-1.2177448345722102,564,612,0.385776,0.41860800000000004,0.03624245892085806,-1.0082657153708603,-0.11634205777842599,-10.819301325205913
184,2058,422,434,0.288648,0.296856,1.2476472792801592,-0.10384145822645176,8.901578982440913,0.2522428959322303,564,598,0.385776,0.409032,0.03618098499149186,-0.9443886806030618,-0.04655294881467407,-5.88145642812164
185,2068,442,432,0.30232800000000004,0.29548800000000003,1.2424356636572522,-0.10385295637774208,-10.460510712623591,1.1448170476692712,564,582,0.385776,0.398088,0.037197028262880655,-0.9478371459884449,1.3404954039274601,6.8065393772134195
186,2074,460,432,0.31464000000000003,0.29548800000000003,1.2895518743986762,-0.11650982406360269,-20.803821635022253,-6.155431476775678,566,568,0.38714400000000004,0.388512,0.058036013118753935,-0.9782518515924524,5.671845149871163,16.599234261000763
187,2089,480,430,0.32832,0.29412,0.9941574997210303,-0.26751976701879154,-18.006367509360718,-19.422697634982804,566,554,0.38714400000000004,0.378936,0.18151762280141812,-0.7052344303070766,13.188744572495667,21.67990162292351
188,2105,498,428,0.34063200000000005,0.292752,0.7563272195177817,-0.7366933182927814,-13.518589404404823,-35.2535503217566,568,538,0.388512,0.36799200000000004,0.5164509262244513,-0.32999365468310643,24.579363088760953,24.52650357805024
189,2113,508,416,0.347472,0.284544,0.6162489406479991,-0.7274132104883289,-11.84037627638319,-17.768732938906545,576,534,0.393984,0.365256,0.4943404971287437,-0.22701080041280333,12.271574305254342,16.57855990489497
190,2124,516,398,0.35294400000000004,0.27223200000000003,0.5201263838156632,-0.8147996540152679,-10.527755937483784,-0.20761077790389723,588,536,0.40219200000000005,0.366624,0.5596420239082623,-0.12281155391556457,-0.5730411181142294,8.978388252624969
191,2129,522,380,0.35704800000000003,0.25992000000000004,0.45702541340483904,-1.0422320380495322,-7.044692311360111,9.908303394890812,602,538,0.411768,0.36799200000000004,0.7102791712989787,0.04042657681081675,-6.560504249663028,0.8666360214546263
192,2150,528,360,0.36115200000000003,0.24624000000000001,0.3435029772058772,-0.9252510797096508,0.6633718889316826,0.34783433383833856,614,540,0.419976,0.36936,0.6360198607192689,0.07703605768207779,0.2843637630445299,-0.8005166682360378
193,2172,536,342,0.366624,0.23392800000000002,0.3694468177774005,-0.9741380167407606,2.9577277095960737,-5.64372141578833,626,540,0.428184,0.36936,0.6724946751343125,0.06375155216995905,4.224271841972412,-0.18853963324096404
194,2179,542,324,0.370728,0.221616,0.41037812444422844,-1.11813446202757,5.138005370120813,-14.420684792137381,640,542,0.43776000000000004,0.370728,0.7550250105387603,0.07525397921428012,9.898772249576043,0.8857745217975768
195,2185,550,306,0.37620000000000003,0.20930400000000002,0.42600046388168866,-1.1756625354785861,2.908612520522414,-13.85545809400028,652,544,0.44596800000000003,0.37209600000000004,0.805164550544197,0.08486716602339618,8.853598414353602,1.7937002401799016
196,2202,556,288,0.38030400000000003,0.196992,0.48412113819202734,-1.3607633634519871,0.12437364693361169,-0.8022623433673363,664,544,0.454176,0.37209600000000004,0.9273808805661318,0.11851373472244794,0.4009256262946071,1.158042727625942
197,2206,562,268,0.384408,0.183312,0.44768206538328525,-1.258083973207974,-1.0315734045610083,3.8169878810068507,676,546,0.462384,0.373464,0.8467903703434478,0.09553120404165816,-1.696719383959768,-0.29784844344277467
198,2217,568,250,0.388512,0.171,0.4401784257850572,-1.2194766956722494,2.1397865478648828,0.2977642111091257,690,548,0.47196000000000005,0.374832,0.8392599515917025,0.09285016949644935,1.3891966013515986,0.21896661442003842
199,2225,576,232,0.393984,0.158688,0.4740535063747738,-1.2863804300315893,-2.5335143332115035,10.396536841431807,702,550,0.48016800000000004,0.37620000000000003,0.8954293873612436,0.11191300958703218,-6.488134916866329,-1.3741351473904326
200,2240,582,214,0.398088,0.146376,0.40160529142780116,-1.0785404887004764,-3.75790251712019,6.822964097744424,714,550,0.48837600000000003,0.37620000000000003,0.7488914402825823,0.09233146405106031,-6.346906361113909,-0.14357236947178334
201,2248,590,196,0.40356000000000003,0.13406400000000002,0.38918219357023637,-1.035015821007159,-3.484369685393271,7.728562870326717,728,552,0.497952,0.377568,0.7124847693950076,0.080722521512974,-5.4111969015211185,-0.7155020061818527
202,2259,596,178,0.407664,0.12175200000000001,0.3609608474970694,-0.9923247957501213,-0.383187736102448,0.9985984301101075,740,554,0.50616,0.378936,0.684429613167225,0.07656821280019625,-0.9048285306778595,-0.13175838177685556
203,2278,602,158,0.411768,0.108072,0.411167322192265,-1.1130432353002462,3.8086278098585273,-8.893367456562384,752,556,0.514368,0.38030400000000003,0.7489808954567061,0.08722144672731878,4.966106380163777,-0.29339462514166254
