frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
0,0,,,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,,,
2,26,,,,,,,,,,,,,,,,
3,41,,,,,,,,,,,,,,,,
4,59,,,,,,,,,,,,,,,,
5,82,,,,,,,,,,,,,,,,
6,99,,,,,,,,,,,,,,,,
7,110,438,12,0.299592,0.008208,,,,,,,,,,,,
8,123,440,12,0.30096,0.008208,0.09405025380328942,0.012097177079848266,-0.6404397359980372,3.1423511361154177,,,,,,,,
9,132,440,12,0.30096,0.008208,0.08835787308151298,0.04012560219664013,-0.14767776217807718,1.4024288014945774,,,,,,,,
10,149,444,14,0.303696,0.009576000000000001,0.08661987912685466,0.056871290603160894,-0.08015515735331272,0.7822396619057947,,,,,,,,
11,162,444,16,0.303696,0.010944,0.4411439890544361,0.38371736370516335,25.920735674497827,23.314688530433315,,,,,,,,
12,172,446,16,0.305064,0.010944,0.7651359852171941,0.6765299470387282,37.257958592213015,33.53089977709856,,,,,,,,
13,189,448,18,0.30643200000000004,0.012312,1.7281216479356825,1.5274630634097797,68.46366015161844,60.126518255015235,,,,,,,,
14,196,504,68,0.34473600000000004,0.046512000000000005,2.854909292475045,2.5949607731932294,119.32509260768477,110.91490810682865,,,,,,,,
15,201,506,70,0.346104,0.047880000000000006,,,,,,,,,,,,
16,214,,,,,,,,,,,,,,,,
17,226,,,,,,,,,,,,,,,,
18,235,,,,,,,,,,,,,,,,
19,252,,,,,,,,,,,,,,,,
20,265,,,,,,,,,,,,,,,,
21,277,,,,,,,,,,,,,,,,
22,290,,,,,,,,,,,,,,,,
23,297,,,,,,,,,,,,,,,,
24,301,,,,,,,,,,,,,,,,
25,317,,,,,,,,,,,,,,,,
26,339,,,,,,,,,,,,,,,,
27,344,,,,,,,,,,,,,,,,
28,349,,,,,,,,,,,,,,,,
29,355,,,,,,,,,,,,,,,,
30,369,,,,,,,,,,,,,,,,
31,374,,,,,,,,,,,,,,,,
32,384,,,,,,,,,,,,,,,,
33,388,,,,,,,,,,,,,,,,
34,391,,,,,,,,,,,,,,,,
35,417,,,,,,,,,,,,,,,,
36,421,,,,,,,,,,,,,,,,
37,426,,,,,,,,,,,,,,,,
