frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
5,66,834.0,126.0,0.5779620000000001,0.087318,,,,
37,444,832.0,126.0,0.576576,0.087318,0.0022728312633659,0.0,0.8540672621496155,2.8157681975602982e-14
38,452,834.0,126.0,0.5779620000000001,0.087318,0.0046741339329006,1.4207187839657998e-15,0.6456919720415815,1.0120549904601061e-13
46,534,832.0,126.0,0.576576,0.087318,-0.00688501031168,0.0,1.628379676859273,1.738411476164442e-13
48,560,834.0,126.0,0.5779620000000001,0.087318,0.0226563751130567,-4.210225695676439e-16,1.4386844601115545,-1.073201660984807e-13
72,806,832.0,126.0,0.576576,0.087318,-0.003874108140911,0.0,1.1768287554246846,-1.6303498139015462e-14
73,820,834.0,126.0,0.5779620000000001,0.087318,-0.0074643787569972,9.644273461242073e-16,-0.5963699871106057,-2.66664964689384e-13
76,850,832.0,126.0,0.576576,0.087318,-0.0015798751555253,0.0,1.0249011027161796,1.1357358753616439e-13
77,861,834.0,126.0,0.5779620000000001,0.087318,0.0028312355831425,-9.545384621069532e-16,0.4805918333797069,1.1016056356903155e-13
87,973,832.0,126.0,0.576576,0.087318,-0.0375544927178492,0.0187917798074552,-0.7069242162429802,1.4771661318193072
89,997,832.0,128.0,0.576576,0.088704,-0.065281938021787,0.0521642603531004,-1.1265872829171868,1.414719824740606
90,1007,830.0,128.0,0.57519,0.088704,-0.0725552163511125,0.0514833868169892,-1.9293172831639276,-0.2477534496439237
91,1019,828.0,130.0,0.573804,0.09009,-0.0796397993361164,0.0589004093784671,1.6054616557830954,-0.7844507275365062
93,1038,826.0,130.0,0.572418,0.09009,-0.0753034440919622,0.0539732983499293,-0.6177597162867474,0.4994955371228408
94,1053,826.0,132.0,0.572418,0.091476,-0.0902413225715086,0.0694166104672171,-1.9669854652904943,2.276872987513625
95,1060,824.0,132.0,0.571032,0.091476,-0.0881673570156399,0.0711145527512668,-0.3211418484862193,0.6908975668246431
