frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
0,0,,,,,,,,
1,13,,,,,,,,
2,26,,,,,,,,
3,39,,,,,,,,
4,50,,,,,,,,
5,67,830,128,0.57519,0.088704,,,,
6,84,830,128,0.57519,0.088704,-4.087710684584381e-15,-5.109638355730476e-16,9.722197038236224e-14,2.9826069903284086e-14
7,103,830,128,0.57519,0.088704,-5.1492281419469424e-15,-6.436535177433678e-16,1.0568508763783072e-13,1.8414439608914314e-14
8,126,830,128,0.57519,0.088704,-4.683193173367048e-15,0.0,-1.9812108982703349e-13,-8.703400612351273e-15
9,149,830,128,0.57519,0.088704,2.3904802352773975e-15,1.1952401176386988e-15,3.8295814560340636e-13,-2.9081674794649525e-14
10,159,830,128,0.57519,0.088704,0.014578385207301292,0.0,0.6189114189370699,3.747862013314518e-15
11,166,830,128,0.57519,0.088704,0.015351618206348994,7.651798926407846e-16,0.773864034020645,-1.7796147399529635e-13
12,186,830,128,0.57519,0.088704,0.020948950021371187,-1.442091331182117e-15,-0.13980387910476033,-3.7745139675872605e-14
13,196,832,128,0.576576,0.088704,0.02189663282306779,-6.460465326202568e-16,-0.4727360940003897,-1.9835230499599657e-14
14,211,832,128,0.576576,0.088704,0.017336206206246946,0.0,-0.6070458721518223,-7.135838403925708e-14
15,238,832,128,0.576576,0.088704,0.003485631059543466,0.0,-0.6785744172435474,-3.632794200504884e-14
16,251,832,128,0.576576,0.088704,2.7692904792259527e-15,1.0384839297097323e-15,2.3159693346061315e-14,4.118864487480972e-14
17,264,832,128,0.576576,0.088704,6.6541887356058984e-15,1.247660387926106e-15,3.041172836301163e-13,3.9827326540124404e-14
18,276,832,128,0.576576,0.088704,-6.712548865007361e-15,5.593790720839468e-16,-1.6065733279245922e-12,5.1320291636781366e-14
19,280,832,128,0.576576,0.088704,0.0,-6.128686525296291e-16,-1.601251125926624e-12,-2.5403164957991137e-13
20,284,832,128,0.576576,0.088704,0.0,0.0,-3.524871418407912e-13,1.8743050618829712e-13
21,289,832,128,0.576576,0.088704,0.015781131544051443,5.757476534730565e-16,-3.5649246801914467,-1.3880212726957172e-13
22,309,832,128,0.576576,0.088704,-0.03799449159839832,-5.530140366339089e-16,-2.4500469767549724,1.2035202379639803e-13
23,314,832,128,0.576576,0.088704,-0.01125687066502218,1.0400016049849202e-15,1.1338668259907143,1.0232256551433991e-13
24,321,830,128,0.57519,0.088704,-0.01761314758674564,1.541712091825488e-15,0.464272008384639,3.858589734006065e-14
25,331,830,128,0.57519,0.088704,-0.02231295565005555,0.0,0.9644086674767804,2.0568205654785014e-13
26,345,832,128,0.576576,0.088704,-0.013628165245633308,-1.6564139227308851e-15,0.038470375757319326,-2.186389083184007e-13
27,353,830,128,0.57519,0.088704,-0.011172147975543268,5.724320267478565e-16,-1.5638602956381613,5.1418658727407213e-14
28,362,830,128,0.57519,0.088704,-0.014490530400007222,-1.8890136359012113e-15,-0.7862898093290521,-7.559862483873391e-14
29,366,830,128,0.57519,0.088704,-0.027521523683514466,6.296712119670705e-16,2.1211480530268925,-1.3803999114033178e-13
30,376,830,128,0.57519,0.088704,9.985207114777413e-15,1.2481508893471766e-15,-2.4096756832285153e-13,-1.462437580580494e-13
31,382,830,128,0.57519,0.088704,0.0,-1.243445012760494e-15,-9.540045124144762e-14,3.405642180725111e-15
32,397,830,128,0.57519,0.088704,-9.613311469332398e-15,-1.2016639336665497e-15,-1.5413774030646817e-12,-2.237821335962596e-13
33,402,830,128,0.57519,0.088704,4.044535032423965e-15,1.0111337581059912e-15,-8.73591461882982e-14,-1.4672519115521787e-13
34,408,830,128,0.57519,0.088704,-1.1036513391039059e-14,-1.8394188985065096e-15,4.839172146983344e-13,6.535231591611313e-14
35,416,830,128,0.57519,0.088704,-1.4347871107905663e-14,-4.035338749098467e-15,-4.1536806306984815e-13,4.456918780724015e-14
36,443,830,128,0.57519,0.088704,0.0,0.0,-1.347921977974913e-15,9.529857810224896e-14
37,447,830,128,0.57519,0.088704,0.02165487625315255,-4.697592213919319e-16,1.3162285002974976,1.2123344395656443e-13
