frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,832,526,0.576576,0.364518,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,,,832,526,0.576576,0.364518,8.172190798064941e-15,-0.03201420111506197,-5.286162291386592e-13,1.414819822817643,,,,,,,,,,,,,,,,
2,24,,,,,,,,,832,526,0.576576,0.364518,-3.5532822494497045e-15,-0.016046121937445368,4.754922638532617e-13,-0.0512670764700734,,,,,,,,,,,,,,,,
3,39,712,730,0.493416,0.5058900000000001,,,,,832,524,0.576576,0.363132,5.965902425730685e-15,-0.017139546704762046,-5.775820553824687e-13,-0.08485946053453122,62,776,0.042966000000000004,0.537768,,,,,,,,,,,,
4,56,710,730,0.49203,0.5058900000000001,-0.005199661768779669,4.1643938422383075e-15,1.1338844489843296,-1.0138091387963661e-12,832,526,0.576576,0.364518,-2.9148347617225827e-15,-0.0047193683042856,3.333666963539139e-13,1.005832392446104,60,776,0.041580000000000006,0.537768,-0.0051996617687781075,-0.0195311211415238,1.1338844489841842,0.8091091208051241,,,,,,,,
5,68,712,730,0.493416,0.5058900000000001,0.005023524636276914,3.634707004660793e-15,0.44764490771968174,8.063791640020115e-13,832,524,0.576576,0.363132,-2.9493431494934382e-15,-0.006162699432799894,5.30585396527265e-13,0.34097148534491756,62,776,0.042966000000000004,0.537768,0.005023524636273279,-0.009130817257896901,0.44764490771912774,0.949259242498146,,,,,,,,
6,83,712,730,0.493416,0.5058900000000001,0.0061918111771924,5.7018924083854806e-15,0.02502874000441389,-6.606532062590917e-13,832,524,0.576576,0.363132,0.0,-0.0023431866967807253,-5.315329651246287e-13,-0.43918420322337853,62,774,0.042966000000000004,0.536382,-0.0034440846986883945,-0.0007965440787615613,-0.7091943375741202,0.4993472686053127,,,,,,,,
7,97,712,730,0.493416,0.5058900000000001,0.00325234948144533,-2.8563664829193164e-15,-1.490564302727766,-7.134473115041521e-15,832,526,0.576576,0.364518,-0.008327008012606772,-0.010191445801846317,-0.7133852053162401,0.1275826254119208,62,776,0.042966000000000004,0.537768,0.004243745160876131,0.0023275701911172762,-0.8743343839686749,0.4484887775388895,,,,,,,,
8,109,712,730,0.493416,0.5058900000000001,-0.00662092913953266,2.717781827863883e-15,0.09540182248067697,-3.36962915678973e-13,832,524,0.576576,0.363132,-0.012937760607020244,-0.0013390513515150334,-0.6349485746778297,-0.40387256282365835,62,776,0.042966000000000004,0.537768,-0.005825549085466437,0.006356197161577387,0.4024496149086625,-0.01175717581969413,,,,,,,,
9,131,712,730,0.493416,0.5058900000000001,-0.0018977569313202158,0.0,0.478377272800269,-2.5621175874274965e-13,832,524,0.576576,0.363132,-0.008250903934401742,-0.006247518773786581,0.4984669713070051,0.030751141530502096,60,776,0.041580000000000006,0.537768,0.0004881805173703922,0.007909511862360117,0.5722350921275488,-0.6712997032919447,686,650,0.47539800000000004,0.45045,,,,
10,142,710,730,0.49203,0.5058900000000001,0.0006470718965468961,0.0,0.6518683887684453,-2.0314703720818847e-14,830,524,0.57519,0.363132,-0.0026831199696993827,-0.00918338069461867,1.0609317107330603,0.7093465444351493,62,776,0.042966000000000004,0.537768,0.0029193202650805053,-2.740664909524695e-15,0.5787802666417883,-1.8092511049826767e-13,686,650,0.47539800000000004,0.45045,3.780338401243581e-15,-5.6705076018653724e-15,-3.35658704237919e-13,8.963118141905242e-14
11,160,712,730,0.493416,0.5058900000000001,0.006189567790911387,0.0,0.48569717938589485,5.010562815594347e-13,830,524,0.57519,0.363132,-0.031704108560580604,-0.09442400466857885,-1.1489973099541946,-5.140712265901241,62,776,0.042966000000000004,0.537768,0.007218424366256189,-0.013489143524081683,0.2224208530592804,-0.7343874665567406,686,650,0.47539800000000004,0.45045,-0.014825484028255845,-0.05188919409889174,-2.9225748752486442,-10.229012063369936
12,176,712,730,0.493416,0.5058900000000001,-0.006187423704086252,2.933855506213556e-15,-0.9566002121202798,-1.9680665079227273e-13,832,524,0.576576,0.363132,-0.04670597171874294,-0.1365935939093493,-1.8810978161103586,-5.2470687572003865,62,776,0.042966000000000004,0.537768,0.008077985604538346,-0.0061079776159197775,-0.7089226494857662,0.09622779845377095,686,650,0.47539800000000004,0.45045,-0.02562134817439888,-0.13659359390934492,-0.6533534525746852,-5.247068757200302
13,185,712,730,0.493416,0.5058900000000001,0.0022035123211813453,-3.0735945471980945e-15,-1.221633093119594,7.789107312192937e-14,832,524,0.576576,0.363132,-0.048428191759043074,-0.16517774051570133,-2.361581048637594,-4.443228041854268,62,776,0.042966000000000004,0.537768,-1.920996591998809e-16,-0.013528840329872211,1.9962833191830035e-14,-0.2266858263454877,686,650,0.47539800000000004,0.45045,-0.03561773434999131,-0.1546222581408153,-0.7617111877602187,-3.7451775299013654
14,199,712,730,0.493416,0.5058900000000001,-0.005665611384877517,3.5165525169251e-15,0.24651016036804393,5.97292611785272e-13,826,510,0.572418,0.35343,-0.06808655672645804,-0.201989426850589,-1.257185908867834,-0.9225875658634568,62,774,0.042966000000000004,0.536382,2.1978453230781876e-16,-0.01981265426893232,5.615808795881867e-14,-0.1824838172541794,682,636,0.47262600000000005,0.44074800000000003,-0.045290919922752707,-0.1783478595767216,-0.11845747414225606,0.448184401783575
15,217,710,730,0.49203,0.5058900000000001,0.0034529752718508756,-6.947379774638249e-15,0.8206278172995727,-1.272215740833261e-13,826,510,0.572418,0.35343,-0.0419150567114587,-0.12439260118780086,3.4373654826763254,7.644551953581972,62,776,0.042966000000000004,0.537768,-4.3421123591489054e-16,-0.01742466084234174,-9.062775042136256e-15,0.32516067692599904,684,636,0.47401200000000004,0.44074800000000003,-0.03139634641282913,-0.12054239297561813,1.4709491711510008,6.6568009828181545
16,223,712,730,0.493416,0.5058900000000001,-0.01089094128726678,-6.9346626126399815e-15,-0.3467894964605783,-5.741748038391004e-14,826,508,0.572418,0.352044,-0.03856256720589591,-0.12567084134294262,2.9486456191026593,6.25702747712758,62,774,0.042966000000000004,0.536382,-0.012832778702358234,-0.014796026483732672,-0.9724333545727479,0.3572380149218298,682,636,0.47262600000000005,0.44074800000000003,-0.027650215552363487,-0.11097273757221461,1.3401198879560448,5.922289115420878
17,228,712,730,0.493416,0.5058900000000001,-0.0048442617456888,-8.394416151527774e-15,0.2586417013128682,6.581352514524717e-13,826,508,0.572418,0.352044,-1.007329938183333e-14,-0.04041637032314725,6.268083421814809e-13,-0.012487618967012986,62,774,0.042966000000000004,0.536382,-0.00873728244827608,-8.603693145743874e-05,-0.01930679507642093,0.7367179937059705,682,636,0.47262600000000005,0.44074800000000003,-0.0038930207026021805,-0.022877538615955845,-0.277948496388617,-0.3192951051878755
18,247,712,730,0.493416,0.5058900000000001,0.0059407306989520195,-0.011191819552527528,-0.2158791523775443,-1.5739528331403567,826,508,0.572418,0.352044,-7.318605354204828e-15,-0.03872603895180204,2.3490204291522733e-12,0.7941172904624629,62,774,0.042966000000000004,0.536382,-0.00610839256709198,-0.0026724196999233073,1.1929032055010602,1.6423977976591744,682,634,0.47262600000000005,0.43936200000000003,-0.012049123266055435,-0.027890311137147843,1.4087823578806091,1.192271764895779
19,261,710,730,0.49203,0.5058900000000001,-0.0011290836924426958,-0.005678694213616,0.5691793497968575,0.3563574405239473,826,506,0.572418,0.350658,-3.0795007681470264e-15,-0.022140007620282273,-3.677444188433693e-13,0.5342474904879724,60,774,0.041580000000000006,0.536382,-0.0011290836924426958,0.003982495852313317,0.5691793497970584,-0.49782118704291733,682,634,0.47262600000000005,0.43936200000000003,0.0,-0.019305227567630468,-9.207059128414917e-14,0.927429635197794
20,272,712,730,0.493416,0.5058900000000001,0.0014179359316295638,-0.0029545420496358593,0.3608277268562113,0.46840877598412584,826,506,0.572418,0.350658,-0.008278014687479093,-0.018378730173200544,-0.6064175029685026,0.6804346019704345,62,776,0.042966000000000004,0.537768,0.001417935931633764,0.009681228455050548,0.3608277268564429,0.1393337572108929,682,634,0.47262600000000005,0.43936200000000003,-2.8001671665018784e-15,-0.012692604525449656,-1.13449806365221e-13,0.7218817391642237
21,279,712,728,0.493416,0.5045040000000001,0.0062087688541598894,-0.006799235676176203,-0.0003831387572356962,-0.08867483527387862,826,506,0.572418,0.350658,-0.006927488901300182,-0.02135018980513831,-0.044042208096231154,0.17425522181790712,62,774,0.042966000000000004,0.536382,0.00620876885416362,0.008919680323959959,-0.0003831387571300805,-0.4466328522223365,682,634,0.47262600000000005,0.43936200000000003,-6.7822726601395755e-15,-0.0009423764720043937,-1.4151591013501664e-13,-0.775177548092384
22,306,712,730,0.493416,0.5058900000000001,0.008760866694369764,-0.0010260522146519205,-0.5561034914481108,0.37330671104209845,826,506,0.572418,0.350658,-0.0037540927753651377,-0.014587866984215164,0.4541029871470909,-0.4967991906243831,62,774,0.042966000000000004,0.536382,-0.0002805545496376525,0.0066755461004500425,-1.2873632418339835,0.368654318476145,682,634,0.47262600000000005,0.43936200000000003,2.579125765870726e-15,-0.014587866984216453,4.211322529136997e-13,-0.4967991906241961
23,321,712,730,0.493416,0.5058900000000001,-0.01022783869610918,0.005830323620154524,-0.5334311094203587,0.2561395198820058,824,506,0.571032,0.350658,0.0018390910906301587,-0.019255883497798883,0.5852499156327292,-0.36087999906590007,62,776,0.042966000000000004,0.537768,-0.008358640139541964,7.382423550885833e-07,-0.2966153980138872,0.24873962311718906,682,634,0.47262600000000005,0.43936200000000003,2.566003873388924e-15,-0.019255883497795032,-2.8963762775615076e-13,-0.360879999066088
24,332,712,728,0.493416,0.5045040000000001,-0.01816635078037192,0.010258553979375988,-0.7211668464851483,-0.19722895131094942,826,504,0.572418,0.349272,-0.005436383975395208,-0.01999771317425657,0.013590478601632736,-0.13507318031134383,62,774,0.042966000000000004,0.536382,-0.005044887893946327,0.010481271869333663,0.024412834293471075,-0.038003312895676065,682,632,0.47262600000000005,0.43797600000000003,0.0,-0.019997713174262046,-4.640001184069031e-13,-0.13507318031112636
25,357,712,730,0.493416,0.5058900000000001,-0.03927747602391885,0.02265401714982601,-1.0965356967941136,1.1725564372536463,826,504,0.572418,0.349272,0.0016413415563600528,-0.0068698411680587655,0.07363513655856457,0.9367656382580593,60,776,0.041580000000000006,0.537768,0.009753617706052577,-0.011394959262380103,0.860744897798597,-0.9343800343572879,682,632,0.47262600000000005,0.43797600000000003,1.713954676218749e-14,-0.0068698411680587655,1.921079725563965e-13,0.9367656382577557
26,362,710,730,0.49203,0.5058900000000001,-0.021477001406728476,0.008670411033801633,0.2887113283607769,-0.09688520492004696,826,504,0.572418,0.349272,0.008203352219502295,-0.01003307057791457,-0.30966092561536673,0.7683439041069413,62,774,0.042966000000000004,0.536382,0.0027735197950154453,0.005488947699908964,0.5765177806650563,0.7685032676905411,682,632,0.47262600000000005,0.43797600000000003,3.3822179524044393e-15,-0.010033070577912879,-1.0951556771070682e-13,0.7683439041064142
27,370,710,730,0.49203,0.5058900000000001,-0.020606670508657925,0.01657403386727121,0.7063420654657792,-1.0299929699839,824,504,0.571032,0.349272,-0.000981703584453197,3.388513384473594e-15,0.5621804193172651,-2.1188424839858473e-13,62,776,0.042966000000000004,0.537768,0.0040326366413877745,0.015607836507467323,0.3236509045168932,-0.012039571267592121,682,632,0.47262600000000005,0.43797600000000003,6.777026768947188e-15,0.0,-5.608939771553527e-13,-2.025508385941996e-15
28,376,710,730,0.49203,0.5058900000000001,-0.03608850783715222,-3.5072564595291726e-14,3.0522211765290224,4.754241106715202e-13,826,504,0.572418,0.349272,0.004166877892009249,-1.6701221235853203e-14,-0.9118649815578834,-6.845246361333806e-14,62,774,0.042966000000000004,0.536382,0.028892560490823636,0.009119829032041579,-1.4650397925426808,-0.8074967406856582,682,632,0.47262600000000005,0.43797600000000003,-3.3402442471706406e-14,-2.8392076100950446e-14,6.000221826827345e-13,2.404090957026543e-13
29,400,710,730,0.49203,0.5058900000000001,0.023712860106190878,0.0,1.2928690095718054,-1.567764441066956e-14,826,504,0.572418,0.349272,-0.01603301780940614,-3.2842379476204333e-15,-1.4152207079836987,2.1052728444514388e-13,62,776,0.042966000000000004,0.537768,-0.01625262156735024,-0.009156883671931227,-1.3644177282008676,-1.9410509409093255,682,632,0.47262600000000005,0.43797600000000003,-3.2842379476204333e-15,0.0,2.69613320438545e-13,3.411901287433066e-13
30,411,710,730,0.49203,0.5058900000000001,0.023787274644141463,0.0,0.48011820275672457,6.392220956413026e-13,826,504,0.572418,0.349272,-0.0004971271408299614,-1.5849012240417655e-15,-0.1735623228217576,7.306687111868698e-14,62,776,0.042966000000000004,0.537768,-0.00702723947535462,-0.01576069963922617,0.006444712465960025,-0.7584305770049757,682,632,0.47262600000000005,0.43797600000000003,-3.169802448083531e-15,0.0,6.208863801801329e-13,4.258463552798964e-13
31,421,712,730,0.493416,0.5058900000000001,0.008623932139636479,-0.01389198165334551,-0.7894600309907357,-0.8022413358373219,824,504,0.571032,0.349272,-0.013692716984398485,3.2699616881299406e-15,0.20437278100578596,-8.23506481127846e-14,62,774,0.042966000000000004,0.536382,-0.0021621966358625383,-0.012939139209425712,0.38993951986046277,-0.9598347300993929,682,632,0.47262600000000005,0.43797600000000003,-0.01389198165334551,0.0,-0.8022413358377213,-3.473403187126397e-13
32,433,712,730,0.493416,0.5058900000000001,0.014672117416682773,-0.00831767495658872,-1.086716466230308,0.17089814506704493,824,504,0.571032,0.349272,-0.016975168667149636,-1.7984184751688005e-15,0.5341579776561515,1.15018642718082e-13,60,774,0.041580000000000006,0.536382,-0.012245237432517203,-0.022989792373267898,-0.28707095337877186,1.2576146112974027,682,632,0.47262600000000005,0.43797600000000003,-0.008317674956585124,0.0,0.17089814506733358,-2.313970954269953e-14
33,447,712,730,0.493416,0.5058900000000001,0.008501919900858525,-0.0038330287912946696,-0.2593084712942325,0.7221671605212718,826,504,0.572418,0.349272,-0.0113254586872386,-0.011764064403072047,0.17610685627249872,-1.0860305160379644,62,774,0.042966000000000004,0.536382,-0.015791532207176724,-0.01233494869215658,-0.40112122110475557,0.9814756318157049,682,632,0.47262600000000005,0.43797600000000003,-0.0038330287912946696,-0.011764064403072047,0.7221671605219185,-1.086030516038304
34,456,710,728,0.49203,0.5045040000000001,-0.010671196625788117,-0.0008500828423917363,0.015887956243430913,0.9620229223118503,824,504,0.571032,0.349272,-0.0023828313528931533,-0.01858712528109614,-0.7877543620647699,-1.28477338081006,62,774,0.042966000000000004,0.536382,-0.0056587919741817394,0.009821113783410041,0.37547868981003574,0.9461349660670731,680,632,0.47124000000000005,0.43797600000000003,-0.0008500828423917363,-0.008766011497698052,0.9620229223119926,-0.3386384147416393
35,470,712,730,0.493416,0.5058900000000001,-0.0019447447738177937,0.005731539751197957,0.7944448024663657,0.7435559833631098,824,504,0.571032,0.349272,-0.00812756880600808,-0.02619817514608913,-0.18164132824628557,-0.6815243729958463,60,774,0.041580000000000006,0.536382,0.007322275894017471,0.007676284525008721,0.24936327283626036,-0.05088881910357298,682,632,0.47262600000000005,0.43797600000000003,-0.007773560175010458,-0.018521890621080412,-0.48189342018635506,-0.732413192099938
36,486,712,730,0.493416,0.5058900000000001,0.012228572017512786,0.010039940362311654,0.8655475474343434,-0.01228835746270901,824,502,0.571032,0.34788600000000003,-0.002482718343324358,-0.026749250996164594,1.445402604012375,0.20317884718858667,60,774,0.041580000000000006,0.536382,0.02195490837280648,-0.0021886316551992737,2.522030944771188,-0.8778359048976391,682,630,0.47262600000000005,0.43659000000000003,-0.026626258371342425,-0.028937882651367586,-1.9544642456560612,-0.6746570577081772
37,492,710,730,0.49203,0.5058900000000001,0.014151492768294105,0.00608016690513384,-0.3648726807277795,-1.7551597407826518,824,502,0.571032,0.34788600000000003,4.2473730749059746e-15,-0.020519802516260913,-1.4960949318981537e-13,1.1181650847398772,62,776,0.042966000000000004,0.537768,0.026611969310349322,0.014064635228270258,2.1861786195413138,0.1398980299604286,682,632,0.47262600000000005,0.43797600000000003,-0.012547334082084374,-0.02859112837942755,-2.0462805895808476,-0.2721219753152585
38,504,712,730,0.493416,0.5058900000000001,-0.01579365915610137,7.315294816488872e-15,-0.6496013833098373,2.3608810955561688e-14,824,502,0.571032,0.34788600000000003,9.753726421985163e-15,-0.003127032147386559,1.3924787244692347e-13,2.2737948021057686,62,774,0.042966000000000004,0.536382,0.021513680812942262,-0.006156875849445348,-1.1814960061058688,-1.3943600955896804,680,630,0.47124000000000005,0.43659000000000003,-0.027670556662387002,-0.021135091208917954,-0.21286408948458926,0.6879063641432926
39,509,712,730,0.493416,0.5058900000000001,0.0026964614023021662,0.0,0.28398382604089734,7.952968180278027e-13,824,502,0.571032,0.34788600000000003,-1.024760618571032e-14,-2.56190154642758e-15,1.2783786147975675e-12,4.828675795811166e-13,62,774,0.042966000000000004,0.536382,0.021638280566163494,0.008652716330516525,-1.8619527665566507,1.3666741625347798,680,630,0.47124000000000005,0.43659000000000003,-0.028975825474427674,-0.013996247331491385,1.0484597962880011,0.5170796811504617
40,514,712,730,0.493416,0.5058900000000001,0.018603400118206468,-4.464166435398647e-15,-0.7089935708668409,6.716205647926808e-13,824,502,0.571032,0.34788600000000003,0.0,-6.696249653097971e-15,-1.4822334204145242e-13,6.850668242816938e-14,62,776,0.042966000000000004,0.537768,-5.580208044248309e-16,-0.011220899859124943,3.5413123013099114e-14,0.6470373423152731,682,630,0.47262600000000005,0.43659000000000003,-0.02496727354227135,-0.031084681359850284,0.9293463662883854,2.094143833124271
41,522,710,730,0.49203,0.5058900000000001,-0.013867635670628754,4.274833979337029e-15,2.109408825630311,-2.0020237423203717e-12,824,502,0.571032,0.34788600000000003,1.2824501938011086e-14,0.0,-2.5620672444361314e-12,-1.39663217075564e-12,62,774,0.042966000000000004,0.536382,0.0,0.02132856748961096,-1.2965414294054415e-13,-2.8626982787548383,680,630,0.47124000000000005,0.43659000000000003,-0.001449240152821895,6.412250969005543e-15,-0.7520059673765638,-1.5835199964185472e-12
42,538,712,730,0.493416,0.5058900000000001,0.008740131122424149,-8.322934705760437e-15,0.9965180676448995,-7.198821966992309e-13,824,502,0.571032,0.34788600000000003,-8.322934705760437e-15,-4.1614673528802186e-15,-1.4967109845096372e-12,-4.351390552893872e-15,62,776,0.042966000000000004,0.537768,-7.80275128665041e-16,0.005239301549590208,-4.561490560554819e-14,0.5719106730335214,680,630,0.47124000000000005,0.43659000000000003,-0.010075267455166542,-1.2484402058640656e-14,0.442024851495483,-1.388269469165489e-12
43,549,712,730,0.493416,0.5058900000000001,-0.0117577786387304,3.982262319323192e-15,-1.7974173276372951,-6.548917013834057e-13,824,502,0.571032,0.34788600000000003,1.1946786957969576e-14,-0.02184933371451774,-6.561571379972213e-14,-1.6447366079228878,62,774,0.042966000000000004,0.536382,4.97782789915399e-16,-0.00819023965318905,3.898517401464448e-14,0.20800776560303205,680,630,0.47124000000000005,0.43659000000000003,-0.007971133780353514,1.991131159661596e-15,1.3384086522226009,4.573965034811879e-13
44,556,712,730,0.493416,0.5058900000000001,-0.014014139821032955,8.317094049107245e-15,-3.10670142618674,5.391981707842517e-13,824,502,0.571032,0.34788600000000003,8.317094049107245e-15,-0.02728700479394528,1.1104933404770119e-12,-1.5863441767800193,62,774,0.042966000000000004,0.536382,5.198183780692028e-16,-0.006580177704203453,3.270435065877232e-14,-1.117836088370268,680,630,0.47124000000000005,0.43659000000000003,1.2475641073660868e-14,4.1585470245536225e-15,1.0279209889696831e-12,5.558500303671862e-13
45,565,712,730,0.493416,0.5058900000000001,-0.03519375935939306,-4.774324852547037e-15,-1.430572258933371,2.0965886541138362e-12,824,502,0.571032,0.34788600000000003,-4.774324852547037e-15,-0.03519375935939545,3.2247720887915397e-12,-1.4305722589341239,62,776,0.042966000000000004,0.537768,-0.016084477846654167,-0.017589153958832274,-1.8421452099710476,0.5151531698073977,680,630,0.47124000000000005,0.43659000000000003,-4.774324852547037e-15,-0.016084477846656852,1.739567557555787e-12,-1.842145209969813
46,576,710,730,0.49203,0.5058900000000001,-0.03276675516460352,4.532466518368394e-15,1.1098810218914352,-1.0930395092663931e-12,824,500,0.571032,0.34650000000000003,-0.0166278598336591,-0.03276675516460352,-1.9848496678658725,1.109881021891218,62,774,0.042966000000000004,0.536382,-0.008472681691761968,0.011254040717799058,0.7307578792056437,1.1843015210643042,680,630,0.47124000000000005,0.43659000000000003,4.532466518368394e-15,-0.025100541525421634,-2.5234821728310713e-13,-1.2540917886601854
47,585,710,730,0.49203,0.5058900000000001,-0.011041654483593679,-4.338000320983434e-15,3.401484678849788,-1.1125810889807958e-12,824,500,0.571032,0.34650000000000003,-0.011352332558757294,-0.02608005083411565,-0.17278981620970568,1.8537880813918535,62,774,0.042966000000000004,0.536382,-0.002925906639421328,0.00100788798027005,1.2643070243992025,0.31687969550996525,680,630,0.47124000000000005,0.43659000000000003,-4.338000320983434e-15,-0.029316635548698695,-6.238632322070877e-13,-0.45617938926784696
48,589,710,730,0.49203,0.5058900000000001,-0.015755737625092085,4.2234874315013246e-15,2.1412248627928396,2.7953630129052164e-13,824,500,0.571032,0.34650000000000003,-0.011609310964888911,-0.02602992152752867,0.9895057595962623,2.050969329698026,60,774,0.041580000000000006,0.536382,-0.005036427380189399,-0.01442061056262709,1.4701324146816173,1.0614635701016586,680,628,0.47124000000000005,0.43520400000000004,1.2670462294503973e-14,-0.03302489988789166,-9.197754526401553e-13,0.65307202772542
49,606,710,730,0.49203,0.5058900000000001,0.0016067925388398947,4.4596621799530336e-15,-1.3399350579145584,2.7369268504677694e-13,822,500,0.569646,0.34650000000000003,-0.017173734571509017,4.4596621799530336e-15,-0.15301765414193036,-1.423943067894167e-13,62,776,0.042966000000000004,0.537768,0.011641944648434006,-0.005637261160810274,1.028527092396377,-2.0961706124907176,680,628,0.47124000000000005,0.43520400000000004,0.02281099573234605,-0.018817153688367318,2.2491882666345697,1.9936041373516755
50,614,712,730,0.493416,0.5058900000000001,0.0151236350568427,-0.013035082606390391,0.5183960528302676,-1.357414033850304,824,500,0.571032,0.34650000000000003,-0.019154138298968455,-0.013035082606388426,-0.15002519810253334,-1.3574140338500387,62,774,0.042966000000000004,0.536382,0.011973494312171531,-0.0018264373561457125,-0.5240462716689701,-0.6526509889491344,680,628,0.47124000000000005,0.43520400000000004,0.007945493048723778,-0.014722277369656998,-0.5547378467967953,0.9552128313619792
51,622,710,730,0.49203,0.5058900000000001,0.016876364440646913,-0.009284406181149188,0.4430057052029424,-0.03781036006370095,824,500,0.571032,0.34650000000000003,-0.00864301715306086,-0.018087570073249883,0.89455329954318,-0.9849678817391414,62,774,0.042966000000000004,0.536382,0.018875594588463142,-0.0059361357295327575,-1.2297894863500902,-0.1648304324181824,680,628,0.47124000000000005,0.43520400000000004,0.005178033004708237,-4.630956908261364e-15,-0.780090786845064,-2.1032287889003122e-13
52,629,710,730,0.49203,0.5058900000000001,0.016962188714548083,-0.014888454549213302,-1.033914174597025,-0.29278839904593806,822,500,0.569646,0.34650000000000003,-9.851499747114767e-05,-0.025588116429896703,0.8193115017154958,-0.13220334470903614,62,774,0.042966000000000004,0.536382,2.1133959300408562e-16,-0.02611396033951745,7.141411609310051e-15,1.4319793565657362,682,628,0.47262600000000005,0.43520400000000004,0.011273278294441474,-0.003480671882794842,-1.1754258623442777,-1.3156524332863857
53,651,712,728,0.493416,0.5045040000000001,0.007434507339301689,-0.00510347264517513,0.32853674414718714,1.2245592286878584,822,498,0.569646,0.34511400000000003,-0.003701085726291573,-0.02319568529122785,0.6765089127671646,0.7435295676794175,62,774,0.042966000000000004,0.536382,2.1416441216202296e-16,3.4266305945923673e-15,-1.488150426685361e-14,4.6063798039226884e-14,680,628,0.47124000000000005,0.43520400000000004,-0.008369944007818975,-0.02668916680422612,-0.8610099056743008,-1.2191025874194183
