frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
118,264,442,316,0.306306,0.218988,0.18147902,-0.083591852,1.847683668,0.813283687,,,,,,,,,490,436,0.33957,0.302148,0,-3.34E-15,4.65E-14,2.34E-13,,,,,,,,,760,382,0.52668,0.264726,-0.021182847,0.026485435,1.226470059,-1.016432374
119,283,446,314,0.309078,0.217602,0.22529156,-0.076691589,1.189509589,0.273666636,,,,,,,,,490,436,0.33957,0.302148,-3.60E-15,-3.60E-15,-4.27E-13,-9.39E-13,,,,,,,,,760,382,0.52668,0.264726,-3.60E-15,0.010947683,-5.23E-13,-1.428234051
120,296,450,312,0.31185,0.216216,0.26983986,-0.07374217,3.666241686,-0.262011729,,,,,,,,,490,436,0.33957,0.302148,0,-3.69E-15,-1.46E-14,-3.17E-13,,,,,,,,,760,382,0.52668,0.264726,-3.69E-15,0,-5.10E-13,-3.19E-13
121,307,454,312,0.314622,0.216216,0.274936562,-0.079414743,3.11737085,-0.210583614,,,,,,,,,490,436,0.33957,0.302148,1.87E-15,1.87E-15,1.74E-13,-2.09E-13,,,,,,,,,760,382,0.52668,0.264726,1.12E-14,3.75E-15,2.78E-14,-2.33E-14
122,315,458,310,0.317394,0.21483,0.286715197,-0.071508419,0.753050818,0.399816095,,,,,,,,,490,436,0.33957,0.302148,2.17E-15,4.34E-15,1.81E-14,-2.88E-13,,,,,,,,,760,382,0.52668,0.264726,8.68E-15,2.17E-15,-2.44E-13,-2.34E-13
123,320,462,310,0.320166,0.21483,0.296543509,-0.06420459,-2.161453065,1.455415321,,,,,,,,,490,436,0.33957,0.302148,4.20E-15,6.30E-15,-2.04E-14,2.65E-14,,,,,,,,,760,382,0.52668,0.264726,1.68E-14,2.10E-15,-1.87E-13,2.90E-13
124,334,466,308,0.322938,0.213444,0.269653672,-0.059529524,-3.580151493,1.055240503,,,,,,,,,490,436,0.33957,0.302148,3.82E-15,0,5.00E-13,6.66E-13,,,,,,,,,760,382,0.52668,0.264726,7.65E-15,3.82E-15,2.42E-13,1.07E-13
125,343,470,308,0.32571,0.213444,0.243991525,-0.044447771,-1.508050855,0.2487847,,,,,,,,,490,436,0.33957,0.302148,1.79E-15,3.59E-15,-1.39E-13,-2.90E-13,,,,,,,,,760,382,0.52668,0.264726,3.59E-15,1.79E-15,-5.70E-13,-1.91E-13
126,356,474,308,0.328482,0.213444,0.23917346,-0.038780477,1.301156822,0.504024587,,,,,,,,,490,436,0.33957,0.302148,3.61E-15,1.81E-15,-3.50E-13,-1.79E-13,,,,,,,,,760,382,0.52668,0.264726,3.61E-15,3.61E-15,-5.93E-13,-4.95E-13
127,373,478,306,0.331254,0.212058,0.25185835,-0.024712729,1.068543051,0.41569105,,,,,,,,,490,436,0.33957,0.302148,-3.63E-15,-1.82E-15,5.42E-14,-1.02E-13,,,,,,,,,760,382,0.52668,0.264726,0,0,3.25E-13,-1.24E-14
