frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
84,156,664,574,0.460152,0.397782,-0.22523008,0.228185632,-4.938055642,7.63545504,714,876,0.494802,0.607068,5.41E-15,-0.040455397,9.72E-13,-1.438572125,490,434,0.33957,0.300762,8.11E-15,2.70E-15,5.31E-14,-3.76E-13,,,,,,,,,760,382,0.52668,0.264726,5.41E-15,2.70E-15,1.21E-12,2.32E-13
85,163,662,578,0.458766,0.400554,-0.231598922,0.250639362,-0.38901961,3.267697967,714,874,0.494802,0.605682,0,-0.034174437,2.12E-12,0.936045204,490,434,0.33957,0.300762,-0.015802525,-2.40E-15,-1.9589487,6.68E-13,,,,,,,,,760,382,0.52668,0.264726,-4.80E-15,-0.015802525,1.04E-12,-1.9589487
86,171,660,580,0.45738,0.40194,-0.240795569,0.266127331,1.250880727,-2.185011769,714,874,0.494802,0.605682,-1.58E-14,-0.030341543,7.31E-13,2.944006199,490,434,0.33957,0.300762,-0.020108983,-9.89E-15,-0.62545749,2.87E-13,,,,,,,,,760,382,0.52668,0.264726,-1.98E-14,-0.020108983,9.60E-13,-0.62545749
87,177,656,584,0.454608,0.404712,-0.228497221,0.277917104,-0.120949642,-2.801388206,714,874,0.494802,0.605682,0.0016212,-0.020424763,-1.233538603,2.752429302,490,434,0.33957,0.300762,-0.02899512,-1.72E-15,0.169908546,1.13E-13,,,,,,,,,760,382,0.52668,0.264726,-1.72E-15,-0.02899512,4.81E-14,0.169908546
88,193,652,590,0.451836,0.40887,-0.251280041,0.254710903,-3.230455792,1.344434972,714,874,0.494802,0.605682,-0.016485601,0.028105101,-1.705407009,1.452185547,488,434,0.338184,0.300762,-0.028318237,0,0.966415016,-2.94E-13,,,,,,,,,760,380,0.52668,0.26334,7.10E-15,-0.028318237,-8.76E-13,0.966415016
89,213,646,594,0.447678,0.411642,-0.300229615,0.267097739,-2.908684364,0.784837479,714,876,0.494802,0.607068,-0.062157708,0.058930753,-2.54050234,1.580868971,488,434,0.338184,0.300762,0.011170651,-6.55E-15,2.533617763,-2.27E-14,,,,,,,,,760,380,0.52668,0.26334,-1.31E-14,-0.011548491,-3.89E-13,1.175962981
90,221,642,598,0.444906,0.414414,-0.318471746,0.282844222,-3.602033276,2.282560074,712,876,0.493416,0.607068,,,,,488,434,0.338184,0.300762,0.001770372,3.38E-15,1.161434066,1.89E-13,,,,,,,,,760,380,0.52668,0.26334,6.76E-15,-0.007554432,8.63E-14,0.965260954
91,226,636,604,0.440748,0.418572,-0.330012905,0.272147045,-1.71429194,0.475037071,,,,,,,,,488,434,0.338184,0.300762,0.014699032,-1.72E-15,0.477490553,-1.44E-13,,,,,,,,,760,380,0.52668,0.26334,-6.89E-15,-3.45E-15,-1.99E-13,-9.93E-14
92,243,630,608,0.43659,0.421344,-0.378455658,0.302204278,-0.926625577,-1.992070038,,,,,,,,,490,434,0.33957,0.300762,0.022306035,-1.81E-15,0.061006046,4.53E-13,,,,,,,,,760,380,0.52668,0.26334,0,0,8.98E-13,4.49E-13
93,253,624,614,0.432432,0.425502,-0.422589569,0.312038096,-5.986277936,2.575282369,,,,,,,,,488,434,0.338184,0.300762,0.022511038,1.83E-15,-0.198722659,4.64E-12,,,,,,,,,760,380,0.52668,0.26334,7.32E-15,0.012171699,8.20E-12,1.211351686
